@relation master_normalized_avgWin

@attribute win numeric
@attribute winAvg numeric
@attribute awayID numeric
@attribute homeID numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute away_goalsPerGame numeric
@attribute away_goalsAgainstPerGame numeric
@attribute away_evGGARatio numeric
@attribute away_powerPlayPercentage numeric
@attribute away_penaltyKillPercentage numeric
@attribute away_shootingPctg numeric
@attribute away_savePctg numeric
@attribute away_PDO numeric
@attribute home_goalsPerGame numeric
@attribute home_goalsAgainstPerGame numeric
@attribute home_evGGARatio numeric
@attribute home_powerPlayPercentage numeric
@attribute home_penaltyKillPercentage numeric
@attribute home_shootingPctg numeric
@attribute home_savePctg numeric
@attribute home_PDO numeric

@data
1,0.636364,22,3,40.73061,-73.935242,0.336898,0.659459,0.37515,0,0.29661,0.225806,0.266667,0.244898,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.5,23,3,40.73061,-73.935242,0.217469,0.627027,0.248199,0.59292,0.432203,0.354839,0.3,0.346939,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.615385,24,3,40.73061,-73.935242,0.358289,0.077477,0.705132,0.265487,0.847458,0.516129,1,0.877551,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
0,0.416667,25,3,40.73061,-73.935242,0.358289,0.21982,0.630552,0.39823,0.644068,0.419355,0.533333,0.530612,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
0,0.461538,26,3,40.73061,-73.935242,0.423351,0,0.721188,0.495575,1,0.516129,0.9,0.816327,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.75,27,3,40.73061,-73.935242,0.531205,0.565866,0.436636,0.738806,0.288462,0.4375,0.529412,0.415094,0.566763,0.222038,0.508612,0.61194,0.894231,0.28125,0.794118,0.490566
1,0.6,28,3,40.73061,-73.935242,0.532086,0.263964,0.422719,0.513274,0.983051,0.451613,0.533333,0.55102,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.533333,29,3,40.73061,-73.935242,0.412656,0.263964,0.687425,0.212389,0.254237,0.258065,0.633333,0.489796,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.636364,30,3,40.73061,-73.935242,0.565062,0.297297,0.641206,0.495575,0.677966,0.774194,0.6,0.795918,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
0,0.444444,52,3,40.73061,-73.935242,0.814617,0.154054,0.819478,0.761062,0.728814,0.83871,0.8,0.959184,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,1,53,3,40.73061,-73.935242,0.086453,0.538739,0.258703,0.185841,0.542373,0.225806,0.4,0.326531,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,1,54,3,40.73061,-73.935242,0.76025,0.253153,0.667617,0.584071,0.694915,0.741935,0.6,0.77551,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612
1,0.509091,1,4,39.952583,-75.165222,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.595745,2,4,39.952583,-75.165222,0.684492,1,0.383403,0.743363,0,0.774194,0.233333,0.571429,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.509434,3,4,39.952583,-75.165222,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.473684,5,4,39.952583,-75.165222,0.782531,0.505405,0.358193,1,0.576271,0.612903,0.333333,0.530612,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.315789,6,4,39.952583,-75.165222,0.749554,0.099099,0.790516,0.778761,0.889831,0.709677,0.633333,0.77551,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.595238,7,4,39.952583,-75.165222,0,0.835135,0,0.380531,0.398305,0,0.1,0,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.611111,8,4,39.952583,-75.165222,0.097148,0.615315,0.220138,0.566372,0.076271,0,0.333333,0.142857,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.513514,9,4,39.952583,-75.165222,0.228164,0.900901,0.137455,0.159292,0.254237,0.322581,0.066667,0.183673,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.605263,10,4,39.952583,-75.165222,0.782531,0.308108,0.761405,0.902655,0.694915,0.806452,0.8,0.938776,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.65,11,4,39.952583,-75.165222,0.540999,0.766284,0.194817,0.464286,0.14,0.392857,0.275,0.166667,0.97738,0.336398,0.708585,0.3125,0.67,0.892857,0.575,0.708333
1,0.657143,12,4,39.952583,-75.165222,0.293226,0.56036,0.284814,0.318584,0.364407,0.129032,0,0.020408,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.516129,13,4,39.952583,-75.165222,0.510695,0.45045,0.477041,0.362832,0.59322,0.322581,0.7,0.571429,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.424242,14,4,39.952583,-75.165222,1,0.352252,1,0.80531,0.245763,1,0.666667,0.979592,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.642857,15,4,39.952583,-75.165222,0.630125,0.395495,0.651711,0.681416,0.601695,1,0.533333,0.897959,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.928571,16,4,39.952583,-75.165222,0.325312,0.572072,0.339436,0.106195,0.508475,0.16129,0.433333,0.306122,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.916667,17,4,39.952583,-75.165222,0.151515,0.572072,0.315276,0.238938,0.364407,0.258065,0.333333,0.306122,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5,18,4,39.952583,-75.165222,0.684492,0.022523,0.954982,0.566372,0.737288,0.709677,1,1,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.727273,19,4,39.952583,-75.165222,0.271836,0.21982,0.616597,0.053097,0.550847,0.193548,0.533333,0.387755,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.454545,20,4,39.952583,-75.165222,0.195187,0.45045,0.381603,0.106195,0.728814,0.032258,0.4,0.204082,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5,21,4,39.952583,-75.165222,0.61943,0.373874,0.614646,0.637168,0.855932,0.903226,0.7,0.938776,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.545455,22,4,39.952583,-75.165222,0.336898,0.659459,0.37515,0,0.29661,0.225806,0.266667,0.244898,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5,23,4,39.952583,-75.165222,0.217469,0.627027,0.248199,0.59292,0.432203,0.354839,0.3,0.346939,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.2,24,4,39.952583,-75.165222,0.358289,0.077477,0.705132,0.265487,0.847458,0.516129,1,0.877551,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.583333,25,4,39.952583,-75.165222,0.358289,0.21982,0.630552,0.39823,0.644068,0.419355,0.533333,0.530612,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
0,0.454545,26,4,39.952583,-75.165222,0.423351,0,0.721188,0.495575,1,0.516129,0.9,0.816327,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5,27,4,39.952583,-75.165222,0.531205,0.565866,0.436636,0.738806,0.288462,0.4375,0.529412,0.415094,0.734398,0.595692,0.396024,0.723881,0.846154,0.75,0.441176,0.54717
0,0.166667,28,4,39.952583,-75.165222,0.532086,0.263964,0.422719,0.513274,0.983051,0.451613,0.533333,0.55102,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5625,29,4,39.952583,-75.165222,0.412656,0.263964,0.687425,0.212389,0.254237,0.258065,0.633333,0.489796,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.692308,30,4,39.952583,-75.165222,0.565062,0.297297,0.641206,0.495575,0.677966,0.774194,0.6,0.795918,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.75,52,4,39.952583,-75.165222,0.814617,0.154054,0.819478,0.761062,0.728814,0.83871,0.8,0.959184,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
1,0.5,53,4,39.952583,-75.165222,0.086453,0.538739,0.258703,0.185841,0.542373,0.225806,0.4,0.326531,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612
