id,fullName,teamName,assists,goals,pim,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,points
8444981,Frank Ashworth,Chicago Blackhawks,4,5,2,18,0,0,2,0,0,0,0,9
8445062,Doug Bentley,Chicago Blackhawks,34,21,18,52,4,16,18,3,0,0,1,55
8445063,Max Bentley,Chicago Blackhawks,43,29,12,60,10,24,12,3,0,0,0,72
8445085,Hank Blade,Chicago Blackhawks,3,1,2,18,0,0,2,0,0,0,0,4
8445180,Adam Brown,Chicago Blackhawks,30,19,87,64,6,15,87,5,0,0,1,49
8445899,Harry Dick,Chicago Blackhawks,1,0,12,12,0,0,12,0,0,0,0,1
8446461,Tom Fowler,Chicago Blackhawks,1,0,18,24,0,0,18,0,0,0,0,1
8446513,Bill Gadsby,Chicago Blackhawks,10,8,31,48,2,3,31,2,0,0,1,18
8446575,George Gee,Chicago Blackhawks,20,20,26,60,6,9,26,2,0,0,0,40
8446686,Red Hamill,Chicago Blackhawks,19,21,12,60,4,11,12,2,0,0,1,40
8446689,Reg Hamilton,Chicago Blackhawks,3,0,2,10,0,0,2,0,0,0,0,3
8446913,Pete Horeck,Chicago Blackhawks,19,16,71,56,4,5,71,2,0,0,0,35
8447026,Jack Jackson,Chicago Blackhawks,5,2,38,48,0,1,38,0,0,0,0,7
8447104,George Johnston,Chicago Blackhawks,1,3,0,10,0,0,0,1,0,0,0,4
8447131,Alex Kaleta,Chicago Blackhawks,20,24,37,57,5,7,37,0,0,1,1,44
8447613,John Mariucci,Chicago Blackhawks,9,2,110,52,0,1,110,0,0,0,0,11
8447902,Bill Mosienko,Chicago Blackhawks,27,25,2,59,4,9,2,0,0,1,1,52
8447977,Ralph Nattrass,Chicago Blackhawks,5,4,34,35,0,2,34,1,0,0,0,9
8448317,Leo Reise Jr.,Chicago Blackhawks,6,4,32,48,0,0,32,0,0,0,0,10
8449068,Clint Smith,Chicago Blackhawks,17,9,6,52,1,1,6,0,0,0,0,26
8449359,Eddie Wares,Chicago Blackhawks,7,4,21,60,0,0,21,1,0,0,0,11
8444857,Sid Abel,Detroit Red Wings,29,19,29,60,7,17,29,2,0,0,0,48
8445003,Doug Baldwin,Detroit Red Wings,0,0,0,4,0,0,0,0,0,0,0,0
8445180,Adam Brown,Detroit Red Wings,30,19,87,64,6,15,87,5,0,0,1,49
8445193,Eddie Bruneteau,Detroit Red Wings,14,9,14,60,2,6,14,0,0,0,0,23
8445513,Jimmy Conacher,Detroit Red Wings,13,16,2,33,1,5,2,0,0,0,0,29
8445517,Roy Conacher,Detroit Red Wings,24,30,6,60,10,20,6,2,0,0,0,54
8445745,Gerry Couture,Detroit Red Wings,10,5,0,30,0,2,0,1,0,0,0,15
8445888,Al Dewsbury,Detroit Red Wings,1,2,12,23,1,1,12,1,0,0,0,3
8445939,Lloyd Doran,Detroit Red Wings,2,3,10,24,0,0,10,0,0,0,0,5
8445946,Les Douglas,Detroit Red Wings,2,0,2,12,0,0,2,0,0,0,0,2
8446573,Fern Gauthier,Detroit Red Wings,12,1,2,40,0,2,2,0,0,0,0,13
8446913,Pete Horeck,Detroit Red Wings,19,16,71,56,4,5,71,2,0,0,0,35
8447024,Harold Jackson,Detroit Red Wings,5,1,39,37,0,0,39,0,0,0,0,6
8447486,Tony Licari,Detroit Red Wings,1,0,0,9,0,0,0,0,0,0,0,1
8447500,Ted Lindsay,Detroit Red Wings,15,27,57,59,5,8,57,4,0,1,1,42
8447530,Pat Lundy,Detroit Red Wings,17,17,10,59,3,4,10,3,0,0,0,34
8447544,Calum MacKay,Detroit Red Wings,0,0,0,5,0,0,0,0,0,0,0,0
8447656,Doug McCaig,Detroit Red Wings,4,2,62,47,0,0,62,0,0,0,0,6
8447861,Hugh Millar,Detroit Red Wings,0,0,0,4,0,0,0,0,0,0,0,0
8448000,Gordie Howe,Detroit Red Wings,15,7,52,58,0,0,52,0,0,0,0,22
8448235,Bill Quackenbush,Detroit Red Wings,17,5,6,44,1,3,6,3,0,0,0,22
8448317,Leo Reise Jr.,Detroit Red Wings,6,4,32,48,0,0,32,0,0,0,0,10
8449042,Thain Simon,Detroit Red Wings,0,0,0,3,0,0,0,0,0,0,0,0
8449043,Cliff Simpson,Detroit Red Wings,1,0,0,6,0,0,0,0,0,0,0,1
8449184,Jack Stewart,Detroit Red Wings,9,5,83,55,0,1,83,0,0,0,0,14
8449216,Billy Taylor Sr.,Detroit Red Wings,46,17,35,60,4,22,35,3,0,0,0,63
8449599,Steve Wojciechowski,Detroit Red Wings,0,0,0,5,0,0,0,0,0,0,0,0
8447769,Jim McFadden,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,0
8448947,Enio Sclisizzi,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,0
8445045,Harry Bell,New York Rangers,1,0,0,1,0,0,0,0,0,0,0,1
8445046,Joe Bell,New York Rangers,4,6,12,47,1,1,12,0,0,0,0,10
8445508,Mac Colville,New York Rangers,0,0,8,14,0,0,8,0,0,0,0,0
8445509,Neil Colville,New York Rangers,16,4,16,60,0,4,16,0,0,0,0,20
8445543,Joe Cooper,New York Rangers,8,2,36,59,1,1,36,0,0,0,0,10
8445866,Ab DeMarco Sr.,New York Rangers,10,9,2,44,0,1,2,1,0,0,0,19
8445869,Jean Paul Denis,New York Rangers,1,0,0,6,0,0,0,0,0,0,0,1
8446565,Cal Gardner,New York Rangers,16,13,30,52,4,11,30,2,0,0,0,29
8446850,Bryan Hextall Sr.,New York Rangers,10,20,18,60,0,0,18,6,0,0,0,30
8447126,Bill Juzda,New York Rangers,5,3,60,45,0,3,60,0,0,0,0,8
8447308,Jean Paul Lamirande,New York Rangers,1,1,14,14,0,0,14,0,0,0,0,2
8447317,Jack Lancien,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8447326,Edgar Laprade,New York Rangers,25,15,9,58,2,8,9,2,0,2,2,40
8447331,Norm Larson,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8447349,Hal Laycoe,New York Rangers,12,1,25,58,0,4,25,0,0,0,1,13
8447471,Tony Leswick,New York Rangers,14,27,51,59,3,5,51,3,0,0,0,41
8447472,Joe Levandoski,New York Rangers,1,1,0,8,0,0,0,0,0,0,0,2
8447878,Bill Moe,New York Rangers,10,4,44,59,0,3,44,1,0,0,0,14
8448151,Alf Pike,New York Rangers,11,7,2,31,1,1,2,0,0,0,0,18
8448256,Mel Read,New York Rangers,0,0,8,6,0,0,8,0,0,0,0,0
8448607,Church Russell,New York Rangers,8,20,8,54,5,7,8,0,0,0,0,28
8449267,Rene Trudell,New York Rangers,16,8,38,59,3,4,38,1,0,0,0,24
8449363,Grant Warwick,New York Rangers,20,20,24,54,9,10,24,2,0,0,0,40
8449372,Phil Watson,New York Rangers,12,6,17,48,1,2,17,4,0,0,0,18
8449391,Sherman White,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8445025,Ed Barry,Boston Bruins,3,1,2,19,0,0,2,0,0,0,0,4
8445034,Bobby Bauer,Boston Bruins,24,30,4,58,7,13,4,3,0,0,0,54
8445349,Joe Carveth,Boston Bruins,15,21,18,51,2,3,18,3,0,0,0,36
8445474,Dit Clapper,Boston Bruins,0,0,0,6,0,0,0,0,0,0,0,0
8445754,Bill Cowley,Boston Bruins,25,13,16,51,2,7,16,3,0,0,0,38
8445767,Jack Crawford,Boston Bruins,17,1,16,58,0,4,16,0,0,0,0,18
8445961,Woody Dumart,Boston Bruins,28,24,12,60,5,11,12,3,0,0,0,52
8446135,Pat Egan,Boston Bruins,18,7,89,60,0,1,89,1,0,0,0,25
8446318,Fern Flaman,Boston Bruins,4,1,41,24,0,0,41,0,0,0,0,5
