id,fullName,teamName,assists,goals,pim,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,points
8445233,Glenn Brydson,Chicago Blackhawks,16,10,39,51,0,7,39,2,1,0,0,26
8445262,Marty Burke,Chicago Blackhawks,3,0,49,48,0,0,49,0,0,0,0,3
8445537,Tom Cook,Chicago Blackhawks,8,4,20,47,1,4,20,1,0,0,0,12
8445742,Art Coulter,Chicago Blackhawks,7,1,44,45,0,1,44,1,0,0,0,8
8446617,Johnny Gottselig,Chicago Blackhawks,15,14,4,40,6,10,4,2,0,0,1,29
8447163,Bill Kendall,Chicago Blackhawks,2,2,0,22,0,0,0,0,0,0,0,4
8447328,Wildor Larochelle,Chicago Blackhawks,3,2,14,40,0,0,14,0,0,0,0,5
8447473,Alex Levinsky,Chicago Blackhawks,7,1,69,48,0,1,69,0,0,0,0,8
8447511,Norm Locking,Chicago Blackhawks,1,0,7,13,0,0,7,0,0,0,0,1
8447609,Mush March,Chicago Blackhawks,19,16,42,48,2,12,42,2,0,0,0,35
8447770,Don McFadyen,Chicago Blackhawks,16,4,33,48,1,4,33,0,0,1,1,20
8447888,Howie Morenz,Chicago Blackhawks,15,6,26,42,1,4,26,2,0,0,0,21
8448076,Eddie Ouellette,Chicago Blackhawks,2,3,11,43,0,1,11,2,0,0,0,5
8448440,Doc Romnes,Chicago Blackhawks,25,13,6,48,1,11,6,2,0,0,0,38
8448951,Earl Seibert,Chicago Blackhawks,9,5,25,43,2,6,25,1,0,0,0,14
8449232,Paul Thompson,Chicago Blackhawks,23,17,19,45,8,16,19,7,0,0,0,40
8449266,Lou Trudel,Chicago Blackhawks,4,3,27,47,1,1,27,1,0,0,0,7
8449464,Art Wiebe,Chicago Blackhawks,0,1,25,46,0,0,25,0,0,1,1,1
8444987,Larry Aurie,Detroit Red Wings,18,16,17,44,4,11,17,3,0,0,0,34
8445026,Marty Barry,Detroit Red Wings,19,21,16,48,6,10,16,2,0,0,0,40
8445146,Ralph Bowman,Detroit Red Wings,2,3,44,48,0,0,44,0,0,0,0,5
8445194,Mud Bruneteau,Detroit Red Wings,0,2,2,24,0,0,2,1,1,0,0,2
8445960,Lorne Duguid,Detroit Red Wings,4,1,2,34,0,1,2,1,0,0,0,5
8446590,Art Giroux,Detroit Red Wings,2,0,0,4,0,0,0,0,0,0,0,2
8446612,Ebbie Goodfellow,Detroit Red Wings,18,5,69,48,0,9,69,1,0,0,0,23
8446924,Syd Howe,Detroit Red Wings,14,16,26,48,2,4,26,2,0,0,0,30
8447148,Pete Kelly,Detroit Red Wings,8,6,30,48,0,1,30,1,0,0,0,14
8447181,Hec Kilrea,Detroit Red Wings,17,6,37,48,1,4,37,1,0,0,0,23
8447183,Wally Kilrea,Detroit Red Wings,10,4,10,44,0,0,10,0,0,0,0,14
8447484,Herbie Lewis,Detroit Red Wings,23,14,25,45,4,10,25,4,1,0,0,37
8447746,Bucko McDonald,Detroit Red Wings,6,4,32,47,0,1,32,1,0,0,0,10
8448139,Gord Pettinger,Detroit Red Wings,7,8,6,30,2,2,6,2,0,0,0,15
8448463,Rolly Roulston,Detroit Red Wings,0,0,0,1,0,0,0,0,0,0,0,0
8449014,John Sherf,Detroit Red Wings,0,0,0,1,0,0,0,0,0,0,0,0
8449128,John Sorrell,Detroit Red Wings,15,13,8,48,4,10,8,4,1,0,0,28
8449161,Wilf Starr,Detroit Red Wings,0,1,0,9,0,0,0,0,0,0,0,1
8449593,Eddie Wiseman,Detroit Red Wings,16,12,15,45,3,7,15,1,0,0,0,28
8449666,Doug Young,Detroit Red Wings,12,5,54,47,1,3,54,2,0,0,0,17
8444989,Vern Ayres,New York Rangers,4,0,38,28,0,1,38,0,0,0,0,4
8445134,Frank Boucher,New York Rangers,18,11,2,48,4,8,2,1,2,0,0,29
8445233,Glenn Brydson,New York Rangers,16,10,39,51,0,7,39,2,1,0,0,26
8445508,Mac Colville,New York Rangers,4,1,6,18,0,1,6,0,0,0,0,5
8445509,Neil Colville,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8445523,Bert Connelly,New York Rangers,2,2,10,25,0,0,10,1,0,0,0,4
8445529,Bill Cook,New York Rangers,10,7,16,44,1,6,16,2,0,0,0,17
8445535,Fred Cook,New York Rangers,5,4,12,26,2,4,12,1,1,0,0,9
8445543,Joe Cooper,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8445742,Art Coulter,New York Rangers,7,1,44,45,0,1,44,1,0,0,0,8
8445908,Cecil Dillon,New York Rangers,14,18,12,48,5,7,12,3,1,0,0,32
8446766,Ott Heller,New York Rangers,11,2,40,45,0,4,40,1,1,0,0,13
8447098,Ivan Johnson,New York Rangers,3,5,58,47,1,2,58,0,0,0,0,8
8447144,Butch Keeling,New York Rangers,5,13,22,46,2,2,22,1,1,0,0,18
8447633,Charlie Mason,New York Rangers,5,1,8,28,1,2,8,0,0,0,0,6
8447888,Howie Morenz,New York Rangers,15,6,26,42,1,4,26,2,0,0,0,21
8447913,Murray Murdoch,New York Rangers,9,2,9,48,0,1,9,1,0,0,0,11
8448096,Lynn Patrick,New York Rangers,14,11,29,48,1,4,29,5,0,0,1,25
8448187,Babe Pratt,New York Rangers,1,1,16,17,0,1,16,0,0,1,1,2
8448951,Earl Seibert,New York Rangers,9,5,25,43,2,6,25,1,0,0,0,14
8449018,Alex Shibicky,New York Rangers,2,4,6,18,0,1,6,1,0,0,0,6
8449160,Harold Starr,New York Rangers,0,0,12,16,0,0,12,0,0,0,0,0
8449372,Phil Watson,New York Rangers,2,0,24,24,0,0,24,0,0,0,0,2
8445037,Red Beattie,Boston Bruins,18,14,27,48,0,2,27,2,0,0,0,32
8445074,Phil Besler,Boston Bruins,0,0,0,8,0,0,0,0,0,0,0,0
8445474,Dit Clapper,Boston Bruins,13,12,14,44,1,2,14,2,1,0,2,25
8445747,Bob Blake,Boston Bruins,0,0,0,12,0,0,0,0,0,0,0,0
8445754,Bill Cowley,Boston Bruins,10,11,17,48,3,6,17,6,1,0,0,21
8445848,Bob Davie,Boston Bruins,0,0,2,2,0,0,2,0,0,0,0,0
8445960,Lorne Duguid,Boston Bruins,4,1,2,34,0,1,2,1,0,0,0,5
8445961,Woody Dumart,Boston Bruins,0,0,0,1,0,0,0,0,0,0,0,0
8446297,Ed Finnigan,Boston Bruins,0,0,0,3,0,0,0,0,0,0,0,0
8446582,Ray Getliffe,Boston Bruins,0,0,2,1,0,0,2,0,0,0,0,0
8446631,Ted Graham,Boston Bruins,1,4,37,48,0,0,37,3,0,0,0,5
8446895,Flash Hollett,Boston Bruins,6,2,10,16,0,2,10,0,0,0,1,8
8447036,Walter Jackson,Boston Bruins,0,0,0,2,0,0,0,0,0,0,0,0
8447052,Roger Jenkins,Boston Bruins,6,2,51,40,2,3,51,1,0,0,0,8
8447132,Max Kaminsky,Boston Bruins,2,1,20,36,0,0,20,0,1,0,0,3
8447780,Bert McInenly,Boston Bruins,0,0,0,3,0,0,0,0,0,0,0,0
8447904,Alex Motter,Boston Bruins,4,1,4,23,0,2,4,0,0,0,0,5
8448061,Jim O'Neil,Boston Bruins,11,2,49,48,0,3,49,0,0,0,0,13
8448179,Jack Portland,Boston Bruins,0,0,0,2,0,0,0,0,0,0,0,0
8448331,Jack Riley,Boston Bruins,0,0,0,8,0,0,0,0,0,0,0,0
8448605,Paul Runge,Boston Bruins,4,8,18,45,2,2,18,1,1,1,1,12
8448784,Charlie Sands,Boston Bruins,4,6,8,40,0,0,8,2,0,0,0,10
