['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8448846, 'Nick Libett', 'Detroit Red Wings', 13, 16, 25, 156, 78, 2, 4, '25', 10.26, 1, 0, 0, 0, -36, 29]
[8448892, 'Don Luce', 'Detroit Red Wings', 12, 3, 18, 74, 67, 0, 0, '18', 4.05, 0, 0, 0, 0, -7, 15]
[8449023, 'Jim Shires', 'Detroit Red Wings', 1, 2, 22, 22, 21, 1, 1, '22', 9.09, 0, 0, 0, 0, -4, 3]
[8449044, 'Frank Mahovlich', 'Detroit Red Wings', 42, 31, 41, 204, 73, 10, 23, '41', 15.2, 4, 0, 2, 3, 9, 73]
[8449110, 'Randy Manery', 'Detroit Red Wings', 0, 0, 0, 3, 2, 0, 0, '0', 0.0, 0, 0, 0, 0, -1, 0]
[8449179, 'Pete Stemkowski', 'Detroit Red Wings', 31, 18, 69, 275, 78, 5, 10, '69', 6.55, 2, 0, 0, 2, 16, 49]
[8449307, 'Doug Volmar', 'Detroit Red Wings', 1, 0, 2, 0, 2, 0, 1, '2', 0, 0, 0, 0, 0, 0, 1]
[8450736, 'Mickey Redmond', 'Detroit Red Wings', 23, 20, 42, 184, 61, 4, 12, '42', 10.87, 2, 0, 0, 0, 7, 43]
[8452086, 'Garry Unger', 'Detroit Red Wings', 28, 28, 104, 279, 79, 7, 18, '104', 10.04, 4, 0, 0, 0, -36, 56]
[8452360, 'Tom Webster', 'Detroit Red Wings', 37, 30, 40, 183, 78, 7, 23, '40', 16.39, 5, 0, 0, 0, -48, 67]
[8444955, 'Al Arbour', 'St. Louis Blues', 2, 0, 6, 3, 22, 0, 0, '6', 0.0, 0, 0, 0, 1, 6, 2]
[8444966, 'John Arbour', 'St. Louis Blues', 6, 1, 93, 66, 66, 0, 0, '93', 1.52, 0, 0, 0, 0, -5, 7]
[8445067, 'Red Berenson', 'St. Louis Blues', 38, 21, 16, 225, 69, 7, 27, '16', 9.33, 2, 0, 1, 1, -14, 59]
[8445126, 'Christian Bordeleau', 'St. Louis Blues', 32, 21, 48, 187, 78, 3, 11, '48', 11.23, 7, 0, 2, 3, 15, 53]
[8445313, 'Craig Cameron', 'St. Louis Blues', 6, 14, 32, 86, 78, 0, 0, '32', 16.28, 2, 0, 1, 1, -11, 20]
[8445400, 'Curt Bennett', 'St. Louis Blues', 0, 2, 0, 4, 4, 0, 0, '0', 50.0, 1, 0, 0, 0, 0, 2]
[8445521, 'Wayne Connelly', 'St. Louis Blues', 29, 13, 21, 217, 79, 4, 19, '21', 5.99, 2, 0, 0, 0, -29, 42]
[8445696, 'Carl Brewer', 'St. Louis Blues', 9, 2, 29, 35, 19, 0, 6, '29', 5.71, 0, 0, 0, 1, -1, 11]
[8445816, 'Terry Crisp', 'St. Louis Blues', 11, 5, 13, 47, 54, 0, 1, '13', 10.64, 0, 0, 1, 1, 3, 16]
[8445875, 'Norm Dennis', 'St. Louis Blues', 0, 0, 0, 0, 4, 0, 0, '0', 0, 0, 0, 0, 0, -4, 0]
[8445998, 'Tim Ecclestone', 'St. Louis Blues', 34, 19, 47, 205, 74, 7, 21, '47', 9.27, 4, 0, 0, 0, -22, 53]
[8446916, 'Larry Hornung', 'St. Louis Blues', 0, 0, 0, 1, 1, 0, 0, '0', 0.0, 0, 0, 0, 0, 1, 0]
[8446933, 'Fran Huck', 'St. Louis Blues', 10, 8, 18, 51, 34, 2, 5, '18', 15.69, 1, 0, 0, 0, 5, 18]
[8447145, 'Larry Keenan', 'St. Louis Blues', 23, 8, 6, 89, 61, 3, 9, '6', 8.99, 2, 0, 0, 0, -9, 31]
[8447513, 'Jim Lorentz', 'St. Louis Blues', 21, 19, 34, 160, 76, 6, 12, '34', 11.88, 2, 0, 0, 0, 6, 40]
[8447717, 'Bill McCreary Sr.', 'St. Louis Blues', 10, 9, 16, 90, 68, 0, 2, '16', 10.0, 0, 0, 3, 3, 8, 19]
[8447744, 'Ab McDonald', 'St. Louis Blues', 5, 0, 6, 31, 20, 0, 0, '6', 0.0, 0, 0, 0, 0, -5, 5]
[8448147, 'Noel Picard', 'St. Louis Blues', 8, 3, 119, 128, 75, 0, 0, '119', 2.34, 1, 0, 0, 0, 1, 11]
[8448155, 'Barclay Plager', 'St. Louis Blues', 20, 4, 172, 84, 69, 1, 6, '172', 4.76, 0, 0, 0, 2, 11, 24]
[8448156, 'Bob Plager', 'St. Louis Blues', 19, 1, 114, 66, 70, 0, 0, '114', 1.52, 1, 0, 0, 3, 11, 20]
[8448157, 'Bill Plager', 'St. Louis Blues', 3, 0, 45, 31, 36, 0, 0, '45', 0.0, 0, 0, 0, 1, -1, 3]
