id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8444898,Greg Adams,Quebec Nordiques,10,4,33,27,35,0,1,33,14.8,0,0,0,0,-2,14
8445204,Jamie Baker,Quebec Nordiques,0,0,0,0,1,0,0,0,0.0,0,0,0,0,-1,0
8445700,Jeff Brown,Quebec Nordiques,38,16,55,284,77,8,32,55,5.6,3,0,1,1,-26,54
8446062,Joe Cirella,Quebec Nordiques,14,4,67,76,56,1,2,67,5.3,0,0,0,0,-27,18
8446353,Lucien DeBlois,Quebec Nordiques,8,9,45,83,70,1,1,45,10.8,1,0,0,1,-29,17
8446432,Daniel Dore,Quebec Nordiques,3,2,59,5,16,1,3,59,40.0,0,0,0,0,-8,5
8446475,Mario Doyon,Quebec Nordiques,3,2,6,19,9,1,2,6,10.5,0,0,0,0,-1,5
8446825,Steven Finn,Quebec Nordiques,9,3,208,74,64,1,1,208,4.1,0,0,0,0,-33,12
8446873,Bryan Fogarty,Quebec Nordiques,10,4,31,93,45,2,6,31,4.3,0,0,0,1,-47,14
8446935,Marc Fortier,Quebec Nordiques,17,13,28,89,59,3,8,28,14.6,1,0,1,1,-16,30
8447192,Paul Gillis,Quebec Nordiques,14,8,234,68,71,0,1,234,11.8,0,0,1,2,-24,22
8447310,Michel Goulet,Quebec Nordiques,30,20,51,154,65,9,24,51,13.0,0,0,1,2,-32,50
8447388,Stephane Guerard,Quebec Nordiques,0,0,6,9,4,0,0,6,0.0,0,0,0,0,-5,0
8447436,Jari Gronstrand,Quebec Nordiques,5,3,29,26,48,0,0,29,11.5,2,0,0,0,-1,8
8447985,Mike Hough,Quebec Nordiques,13,13,84,93,43,3,6,84,14.0,0,0,1,1,-24,26
8448017,Tony Hrkac,Quebec Nordiques,20,9,10,70,50,3,13,10,12.9,0,0,0,0,-4,29
8448204,Jeff Jackson,Quebec Nordiques,12,8,71,73,65,0,0,71,11.0,0,0,1,2,-21,20
8448255,Iiro Jarvi,Quebec Nordiques,13,7,18,52,41,1,2,18,13.5,1,0,0,0,-11,20
8448394,Kevin Kaminski,Quebec Nordiques,0,0,0,0,1,0,0,0,0.0,0,0,0,0,-1,0
