id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8445044,Billy Bell,Ottawa Senators (1917),2,2,4,23,4,0,0,4
8445134,Frank Boucher,Ottawa Senators (1917),2,8,4,24,4,1,0,10
8445135,George Boucher,Ottawa Senators (1917),12,13,12,23,12,2,0,25
8445168,Punch Broadbent,Ottawa Senators (1917),14,31,28,24,28,5,2,45
8445191,Morley Bruce,Ottawa Senators (1917),1,4,2,22,2,0,0,5
8445471,King Clancy,Ottawa Senators (1917),6,4,21,24,21,0,0,10
8445874,Cy Denneny,Ottawa Senators (1917),12,28,20,22,20,2,0,40
8446581,Eddie Gerard,Ottawa Senators (1917),11,7,16,21,16,0,0,18
8446629,Leth Graham,Ottawa Senators (1917),0,2,0,1,0,0,0,2
8448011,Frank Nighbor,Ottawa Senators (1917),10,8,4,20,4,4,0,18
8444956,Amos Arbour,Hamilton Tigers,6,9,8,23,8,1,0,15
8445326,George Carey,Hamilton Tigers,2,3,6,23,6,0,0,5
8447594,Joe Malone,Hamilton Tigers,7,24,4,24,4,3,0,31
8447637,Joe Matte,Hamilton Tigers,3,3,4,21,4,0,0,6
8447907,Harry Mummery,Hamilton Tigers,2,4,40,20,40,0,0,6
8448212,Goldie Prodgers,Hamilton Tigers,7,15,4,24,4,0,0,22
8448315,Leo Reise Sr.,Hamilton Tigers,14,9,11,24,11,1,0,23
8448349,Mickey Roach,Hamilton Tigers,6,14,9,24,9,2,1,20
8449551,Cully Wilson,Hamilton Tigers,9,7,20,23,20,0,0,16
8447907,Harry Mummery,Hamilton Tigers,2,4,40,20,40,0,0,6
8445044,Billy Bell,Montréal Canadiens,2,2,4,23,4,0,0,4
8445071,Louis Berlinquette,Montréal Canadiens,5,13,10,24,10,0,0,18
8445131,Edmond Bouchard,Montréal Canadiens,5,1,4,18,4,1,0,6
8445133,Billy Boucher,Montréal Canadiens,5,17,18,24,18,3,0,22
8445496,Odie Cleghorn,Montréal Canadiens,3,21,26,24,26,3,0,24
8445497,Sprague Cleghorn,Montréal Canadiens,9,17,80,24,80,2,0,26
8445571,Bert Corbeau,Montréal Canadiens,7,3,26,22,26,0,0,10
8445744,Billy Coutu,Montréal Canadiens,3,4,8,24,8,2,0,7
8447289,Newsy Lalonde,Montréal Canadiens,6,9,20,20,20,1,0,15
8447761,Jack McDonald,Montréal Canadiens,0,0,0,3,0,0,0,0
8448154,Didier Pitre,Montréal Canadiens,4,2,12,23,12,0,0,6
8449181,Phil Stevens,Montréal Canadiens,0,0,0,4,0,0,0,0
8445497,Sprague Cleghorn,Montréal Canadiens,9,17,80,24,80,2,0,26
8444936,Lloyd Andrews,Toronto St. Patricks,0,0,0,11,0,0,0,0
8445314,Harry Cameron,Toronto St. Patricks,17,18,22,24,22,3,0,35
8445873,Corb Denneny,Toronto St. Patricks,9,19,28,24,28,1,0,28
8445972,Babe Dye,Toronto St. Patricks,7,31,39,24,39,5,0,38
8447035,Stan Jackson,Toronto St. Patricks,0,0,0,1,0,0,0,0
8448013,Reg Noble,Toronto St. Patricks,11,17,19,24,19,2,0,28
8448030,Paddy Nolan,Toronto St. Patricks,0,0,0,2,0,0,0,0
8448246,Ken Randall,Toronto St. Patricks,6,10,32,24,32,1,0,16
8449075,Glenn Smith,Toronto St. Patricks,0,0,0,9,0,0,0,0
8449090,Rod Smylie,Toronto St. Patricks,0,0,2,20,2,0,0,0
8449145,Ted Stackhouse,Toronto St. Patricks,0,0,2,13,2,0,0,0
8449199,Billy Stuart,Toronto St. Patricks,7,3,16,24,16,1,0,10
8446581,Eddie Gerard,Toronto St. Patricks,11,7,16,21,16,0,0,18
