id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8444855,Clarence Abel,Chicago Blackhawks,1,0,43,43,43,0,0,1
8444863,Stew Adams,Chicago Blackhawks,13,5,24,35,24,0,0,18
8444967,Ty Arbour,Chicago Blackhawks,3,3,12,41,12,1,1,6
8445127,Helge Bostrom,Chicago Blackhawks,2,2,32,42,32,2,0,4
8445537,Tom Cook,Chicago Blackhawks,14,15,36,43,36,4,0,29
8445746,Rosie Couture,Chicago Blackhawks,11,8,29,44,29,1,0,19
8445885,Vic Desjardins,Chicago Blackhawks,12,3,17,39,17,1,0,15
8445968,Duke Dutkowski,Chicago Blackhawks,4,2,46,37,46,1,0,6
8446617,Johnny Gottselig,Chicago Blackhawks,12,20,12,42,12,2,0,32
8446631,Ted Graham,Chicago Blackhawks,7,0,42,42,42,0,0,7
8447018,Frank Ingram,Chicago Blackhawks,4,17,37,43,37,5,0,21
8447052,Roger Jenkins,Chicago Blackhawks,1,0,14,31,14,0,0,1
8447609,Mush March,Chicago Blackhawks,6,11,38,44,38,3,0,17
8447870,Earl Miller,Chicago Blackhawks,4,3,10,19,10,1,0,7
8448334,Vic Ripley,Chicago Blackhawks,4,8,9,37,9,1,0,12
8448440,Doc Romnes,Chicago Blackhawks,7,5,10,30,10,1,0,12
8449126,Art Somers,Chicago Blackhawks,6,3,35,33,35,0,0,9
8449306,Ed Vokes,Chicago Blackhawks,0,0,0,5,0,0,0,0
8449383,Cy Wentworth,Chicago Blackhawks,4,4,12,44,12,1,0,8
8444987,Larry Aurie,Detroit Falcons,6,12,23,41,23,0,1,18
8445541,Carson Cooper,Detroit Falcons,14,14,14,44,14,4,0,28
8445806,Jimmy Creighton,Detroit Falcons,0,1,2,11,2,0,0,1
8446182,Stewart Evans,Detroit Falcons,4,1,16,38,16,0,0,5
8446245,Tommy Filmore,Detroit Falcons,3,7,10,39,10,0,0,10
8446493,Frank Fredrickson,Detroit Falcons,2,1,6,24,6,1,0,3
8446607,Leroy Goldsworthy,Detroit Falcons,0,1,4,12,4,0,0,1
8446612,Ebbie Goodfellow,Detroit Falcons,23,25,32,44,32,7,1,48
8446750,George Hay,Detroit Falcons,10,8,22,44,22,0,0,18
8446857,Henry Hicks,Detroit Falcons,0,0,10,16,10,0,0,0
8447484,Herbie Lewis,Detroit Falcons,6,15,38,43,38,3,2,21
8447654,Stan McCabe,Detroit Falcons,1,2,22,40,22,0,0,3
8447780,Bert McInenly,Detroit Falcons,5,3,48,44,48,0,0,8
8448004,John Newman,Detroit Falcons,1,1,2,9,2,0,0,2
8448013,Reg Noble,Detroit Falcons,5,2,46,44,46,0,0,7
8448428,Harvey Rockburn,Detroit Falcons,1,0,124,42,124,0,0,1
8449128,John Sorrell,Detroit Falcons,7,9,10,39,10,1,1,16
8449177,Frank Steele,Detroit Falcons,0,0,2,1,2,0,0,0
8445134,Frank Boucher,New York Rangers,27,12,18,44,18,2,0,39
8445142,Leo Bourgeault,New York Rangers,5,0,40,38,40,0,0,5
8445334,Gene Carrigan,New York Rangers,0,2,13,33,13,1,0,2
8445529,Bill Cook,New York Rangers,12,30,39,44,39,5,1,42
8445535,Fred Cook,New York Rangers,17,18,74,44,74,3,0,35
