id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8444944,John Anderson,Quebec Nordiques,45,29,28,239,79,9,31,28,12.13,6,0,3,4,18,74
8444962,Peter Andersson,Quebec Nordiques,24,7,40,100,73,4,16,40,7.0,3,1,0,0,0,31
8445118,Brent Ashton,Quebec Nordiques,32,26,66,207,77,5,12,66,12.56,5,1,2,2,7,58
8445207,Wayne Babych,Quebec Nordiques,22,17,77,97,54,3,9,77,17.53,2,0,0,0,6,39
8445700,Jeff Brown,Quebec Nordiques,2,3,6,16,8,0,0,6,18.75,0,0,0,0,5,5
8446178,Alain Cote,Quebec Nordiques,21,13,29,120,78,0,0,29,10.83,2,0,3,4,-3,34
8446372,Gilbert Delorme,Quebec Nordiques,18,2,51,100,64,1,6,51,2.0,0,0,0,0,-1,20
8446437,Gord Donnelly,Quebec Nordiques,2,2,85,30,36,0,0,85,6.67,0,0,0,0,0,4
8446551,Mike Eagles,Quebec Nordiques,12,11,49,69,73,1,1,49,15.94,1,1,0,1,3,23
8446825,Steven Finn,Quebec Nordiques,1,0,28,8,17,0,0,28,0.0,0,0,0,0,0,1
8447074,Jean-Marc Gaulin,Quebec Nordiques,0,1,0,2,1,0,0,0,50.0,0,0,0,0,0,1
8447192,Paul Gillis,Quebec Nordiques,24,19,203,136,80,0,0,203,13.97,2,1,2,6,-3,43
8447310,Michel Goulet,Quebec Nordiques,51,53,64,244,75,28,51,64,21.72,3,0,0,0,7,104
8448117,Dale Hunter,Quebec Nordiques,42,28,265,151,80,7,13,265,18.54,4,0,0,0,7,70
8448385,Claude Julien,Quebec Nordiques,1,0,25,4,13,0,0,25,0.0,0,0,0,0,2,1
8448563,Mark Kumpel,Quebec Nordiques,12,10,17,76,47,0,1,17,13.16,3,0,0,0,10,22
8448686,David Latta,Quebec Nordiques,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
8448773,Alain Lemieux,Quebec Nordiques,0,0,2,1,7,0,0,2,0.0,0,0,0,0,-1,0
8449101,Greg Malone,Quebec Nordiques,12,9,42,61,49,1,3,42,14.75,0,0,0,0,-8,21
8449119,Jimmy Mann,Quebec Nordiques,3,0,148,4,35,0,0,148,0.0,0,0,0,0,-2,3
8449171,Mario Marois,Quebec Nordiques,40,5,152,175,77,1,17,152,2.86,1,0,0,2,-34,45
8449662,Randy Moller,Quebec Nordiques,18,5,141,105,69,0,3,141,4.76,1,0,0,0,7,23
8450107,Wilf Paiement,Quebec Nordiques,18,8,158,89,52,2,5,158,8.99,0,0,0,0,2,26
