id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8445135,George Boucher,Ottawa Senators (1917),7,11,53,23,53,2,0,18
8445168,Punch Broadbent,Ottawa Senators (1917),1,4,10,9,10,1,0,5
8445191,Morley Bruce,Ottawa Senators (1917),1,3,23,21,23,0,0,4
8445497,Sprague Cleghorn,Ottawa Senators (1917),8,5,40,16,40,1,0,13
8445844,Jack Darragh,Ottawa Senators (1917),14,11,20,24,20,3,0,25
8445874,Cy Denneny,Ottawa Senators (1917),7,34,10,24,10,4,0,41
8446581,Eddie Gerard,Ottawa Senators (1917),4,11,18,24,18,1,0,15
8446629,Leth Graham,Ottawa Senators (1917),0,0,0,14,0,0,0,0
8447791,Jack MacKell,Ottawa Senators (1917),1,2,26,22,26,0,0,3
8448011,Frank Nighbor,Ottawa Senators (1917),10,19,10,24,10,3,1,29
8445326,George Carey,Hamilton Tigers,1,6,8,20,8,0,0,7
8445330,Ed Carpenter,Hamilton Tigers,1,2,17,21,17,0,0,3
8445744,Billy Coutu,Hamilton Tigers,4,8,117,24,117,1,1,12
8445972,Babe Dye,Hamilton Tigers,5,35,32,24,32,6,0,40
8447594,Joe Malone,Hamilton Tigers,9,28,6,20,6,1,1,37
8447637,Joe Matte,Hamilton Tigers,9,6,29,21,29,0,0,15
8447674,Thomas McCarthy,Hamilton Tigers,1,10,10,23,10,0,0,11
8447765,Moylan McDonnell,Hamilton Tigers,2,1,2,22,2,0,0,3
8448212,Goldie Prodgers,Hamilton Tigers,9,18,8,24,8,1,0,27
8448315,Leo Reise Sr.,Hamilton Tigers,0,2,10,6,10,0,0,2
8448349,Mickey Roach,Hamilton Tigers,9,10,2,23,2,2,0,19
8444956,Amos Arbour,Montréal Canadiens,3,15,40,24,40,0,0,18
8445044,Billy Bell,Montréal Canadiens,0,0,2,4,2,0,0,0
8445071,Louis Berlinquette,Montréal Canadiens,9,11,28,24,28,3,0,20
8445317,Dave Campbell,Montréal Canadiens,0,0,0,2,0,0,0,0
8445496,Odie Cleghorn,Montréal Canadiens,5,6,8,21,8,0,0,11
8445571,Bert Corbeau,Montréal Canadiens,2,11,84,24,84,1,0,13
8447289,Newsy Lalonde,Montréal Canadiens,10,33,36,24,36,6,0,43
8447761,Jack McDonald,Montréal Canadiens,1,0,2,12,2,0,0,1
8447907,Harry Mummery,Montréal Canadiens,6,14,67,24,67,2,0,20
8448154,Didier Pitre,Montréal Canadiens,5,16,25,23,25,1,0,21
8448336,Dave Ritchie,Montréal Canadiens,0,0,2,6,2,0,0,0
8449551,Cully Wilson,Montréal Canadiens,3,8,51,19,51,0,0,11
8445314,Harry Cameron,Toronto St. Patricks,9,18,35,24,35,5,1,27
8445497,Sprague Cleghorn,Toronto St. Patricks,8,5,40,16,40,1,0,13
8445873,Corb Denneny,Toronto St. Patricks,7,19,29,20,29,1,1,26
8445972,Babe Dye,Toronto St. Patricks,5,35,32,24,32,6,0,40
8447761,Jack McDonald,Toronto St. Patricks,1,0,2,12,2,0,0,1
8448013,Reg Noble,Toronto St. Patricks,8,19,54,24,54,1,0,27
8448246,Ken Randall,Toronto St. Patricks,5,6,74,22,74,1,0,11
8448349,Mickey Roach,Toronto St. Patricks,9,10,2,23,2,2,0,19
8449090,Rod Smylie,Toronto St. Patricks,1,2,2,23,2,0,0,3
8449199,Billy Stuart,Toronto St. Patricks,1,2,4,19,4,1,0,3
8449551,Cully Wilson,Toronto St. Patricks,3,8,51,19,51,0,0,11
