id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8445169,Pierre Aubry,Quebec Nordiques,13,10,27,62,62,0,2,27,16.13,1,0,1,1,-9,23
8445583,Michel Bolduc,Quebec Nordiques,0,0,0,1,3,0,0,0,0.0,0,0,0,0,0,0
8446101,Real Cloutier,Quebec Nordiques,60,37,34,214,67,8,34,34,17.29,5,0,0,0,27,97
8446178,Alain Cote,Quebec Nordiques,16,15,82,95,79,0,0,82,15.79,1,0,0,1,-11,31
8446317,Richard David,Quebec Nordiques,1,1,4,6,5,0,0,4,16.67,0,0,0,0,-3,2
8446530,Andre Dupont,Quebec Nordiques,12,4,100,62,60,0,0,100,6.45,2,0,0,0,3,16
8446978,Robbie Ftorek,Quebec Nordiques,32,9,28,69,49,2,6,28,13.04,2,0,0,2,6,41
8446981,Miroslav Frycer,Quebec Nordiques,23,24,78,112,59,6,9,78,21.43,4,0,0,0,-19,47
8447194,Jere Gillis,Quebec Nordiques,10,5,16,57,38,0,0,16,8.77,2,0,0,0,0,15
8447310,Michel Goulet,Quebec Nordiques,42,42,48,250,80,8,13,48,16.8,3,0,6,10,35,84
8447482,Jean Hamel,Quebec Nordiques,6,1,32,26,40,0,0,32,3.85,1,0,0,0,3,7
8447790,Pat Hickey,Quebec Nordiques,15,15,36,80,61,3,4,36,18.75,3,0,0,0,-15,30
8447930,Dale Hoganson,Quebec Nordiques,6,0,16,14,30,0,0,16,0.0,0,0,0,1,-24,6
8448117,Dale Hunter,Quebec Nordiques,50,22,272,124,80,0,4,272,17.74,1,0,2,7,26,72
8448294,Terry Johnson,Quebec Nordiques,1,0,5,0,6,0,0,5,0,0,0,0,0,-1,1
8448615,Pierre Lacroix,Quebec Nordiques,23,4,74,73,68,1,8,74,5.48,0,0,0,0,1,27
8449171,Mario Marois,Quebec Nordiques,32,11,161,124,71,2,4,161,8.87,0,0,0,1,20,43
