id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8444952,Lou Angotti,Chicago Blackhawks,12,6,17,49,63,2,4,17,12.24,0,0,0,1,4,18
8445151,Wally Boyer,Chicago Blackhawks,6,5,15,27,42,1,1,15,18.52,1,0,0,0,-3,11
8446722,Phil Esposito,Chicago Blackhawks,40,21,40,192,69,2,8,40,10.94,3,0,1,1,34,61
8446749,Bill Hay,Chicago Blackhawks,13,7,12,68,36,0,1,12,10.29,1,0,0,1,3,20
8446967,Dennis Hull,Chicago Blackhawks,17,25,33,172,70,1,4,33,14.53,5,0,0,1,7,42
8447045,Doug Jarrett,Chicago Blackhawks,21,5,76,147,70,1,1,76,3.4,1,0,0,1,43,26
8447591,Chico Maki,Chicago Blackhawks,29,9,14,75,56,1,5,14,12.0,5,0,1,2,32,38
8447873,John Miszuk,Chicago Blackhawks,0,0,0,2,3,0,0,0,0.0,0,0,0,0,0,0
8447880,Doug Mohns,Chicago Blackhawks,35,25,58,151,62,4,15,58,16.56,5,0,2,2,33,60
8447892,Ken Hodge,Chicago Blackhawks,25,10,59,124,68,0,3,59,8.06,3,0,0,0,16,35
8447998,Eric Nesterenko,Chicago Blackhawks,23,14,38,111,68,1,4,38,12.61,1,0,3,3,6,37
8448108,Bobby Hull,Chicago Blackhawks,28,52,52,320,66,18,23,52,16.25,3,0,2,3,28,80
8448152,Pierre Pilote,Chicago Blackhawks,46,6,90,70,70,4,17,90,8.57,2,0,0,3,54,52
8448249,Matt Ravlich,Chicago Blackhawks,3,0,39,18,62,0,0,39,0.0,0,0,0,0,1,3
8449088,Wayne Smith,Chicago Blackhawks,1,1,2,2,2,0,0,2,50.0,0,0,0,0,7,2
8449149,Fred Stanfield,Chicago Blackhawks,0,1,0,4,10,0,0,0,25.0,0,0,0,0,-3,1
8449159,Pat Stapleton,Chicago Blackhawks,31,3,52,143,70,0,5,52,2.1,1,0,0,0,32,34
8449299,Ed Van Impe,Chicago Blackhawks,11,8,111,87,61,0,0,111,9.2,3,0,0,0,29,19
8449385,Kenny Wharram,Chicago Blackhawks,34,31,21,169,70,8,21,21,18.34,2,0,0,0,35,65
8449602,Stan Mikita,Chicago Blackhawks,62,35,12,279,70,8,30,12,12.54,5,0,1,2,40,97
8445855,Billy Dea,Chicago Blackhawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8444856,Gerry Abel,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8445032,Andy Bathgate,Detroit Red Wings,23,8,24,157,60,0,11,24,5.1,1,0,0,0,-15,31
8445070,Gary Bergman,Detroit Red Wings,30,5,129,130,70,1,3,129,3.85,1,0,0,1,-3,35
8445111,Leo Boivin,Detroit Red Wings,17,4,78,134,69,0,1,78,2.99,1,0,0,2,-19,21
8445313,Craig Cameron,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8445764,Bart Crashley,Detroit Red Wings,0,0,2,1,2,0,0,2,0.0,0,0,0,0,-2,0
8445827,Ray Cullen,Detroit Red Wings,8,8,8,37,27,0,2,8,21.62,1,0,0,0,-2,16
8445865,Alex Delvecchio,Detroit Red Wings,38,17,10,225,70,4,21,10,7.56,2,0,1,1,-18,55
8446189,Bob Falkenberg,Detroit Red Wings,1,1,10,17,16,0,0,10,5.88,0,0,0,0,-9,2
8446342,Val Fonteyne,Detroit Red Wings,1,1,0,10,31,0,0,0,10.0,0,0,0,1,-4,2
8446599,Warren Godfrey,Detroit Red Wings,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
8446601,Pete Goegan,Detroit Red Wings,6,2,12,44,31,1,3,12,4.55,0,0,0,0,-9,8
8446670,Murray Hall,Detroit Red Wings,3,4,4,15,12,0,0,4,26.67,0,0,0,0,1,7
8446728,Doug Harvey,Detroit Red Wings,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0
8447048,Gary Jarrett,Detroit Red Wings,0,0,0,10,4,0,0,0,0.0,0,0,0,0,-3,0
8447453,Real Lemieux,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8447496,Ted Hampson,Detroit Red Wings,35,13,4,110,65,1,8,4,11.82,2,0,0,0,6,48
8447537,Parker MacDonald,Detroit Red Wings,5,3,2,38,16,1,2,2,7.89,3,0,0,0,-7,8
8447540,Bruce MacGregor,Detroit Red Wings,19,28,14,159,70,8,9,14,17.61,4,0,1,1,-7,47
8447710,Bob McCord,Detroit Red Wings,2,1,27,26,14,0,0,27,3.85,0,0,0,0,-3,3
8447730,Paul Henderson,Detroit Red Wings,19,21,10,102,46,6,11,10,20.59,5,0,1,1,6,40
8447744,Ab McDonald,Detroit Red Wings,0,2,2,26,12,0,0,2,7.69,0,0,0,0,-3,2
8448000,Gordie Howe,Detroit Red Wings,40,25,53,293,69,8,22,53,8.53,1,0,1,2,-3,65
8448137,Jimmy Peters,Detroit Red Wings,0,0,0,4,2,0,0,0,0.0,0,0,0,0,0,0
8448191,Dean Prentice,Detroit Red Wings,22,23,18,166,68,5,9,18,13.86,1,0,1,1,-12,45
8448354,Doug Roberts,Detroit Red Wings,1,3,0,25,13,0,0,0,12.0,1,0,0,0,-8,4
8448423,Dave Rochefort,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0
8449062,Peter Mahovlich,Detroit Red Wings,3,1,16,47,34,0,0,16,2.13,0,0,0,0,-8,4
