id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8444957,Shawn Anderson,Quebec Nordiques,10,3,21,44,31,2,4,21,6.8,0,0,0,0,2,13
8445202,Jamie Baker,Quebec Nordiques,0,2,8,18,18,0,0,8,11.1,0,0,1,1,-4,2
8445725,Aaron Broten,Quebec Nordiques,8,11,38,85,47,1,2,38,12.9,1,0,0,0,9,19
8446062,Joe Cirella,Quebec Nordiques,10,3,111,82,58,0,8,111,3.7,0,0,0,1,-27,13
8446353,Lucien DeBlois,Quebec Nordiques,14,12,43,65,52,0,0,43,18.5,1,0,1,2,-3,26
8446432,Daniel Dore,Quebec Nordiques,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0
8446475,Mario Doyon,Quebec Nordiques,0,0,4,12,12,0,0,4,0.0,0,0,0,0,-3,0
8446825,Steven Finn,Quebec Nordiques,13,6,228,91,71,0,0,228,6.6,0,0,0,0,-26,19
8446873,Bryan Fogarty,Quebec Nordiques,22,9,24,107,45,3,16,24,8.4,2,0,0,0,-11,31
8446935,Marc Fortier,Quebec Nordiques,4,0,6,13,14,0,1,6,0.0,0,0,0,0,-3,4
8447192,Paul Gillis,Quebec Nordiques,13,3,144,66,62,0,0,144,4.5,0,0,1,1,-18,16
8447363,Alexei Gusarov,Quebec Nordiques,9,3,12,36,36,1,4,12,8.3,0,0,0,0,-4,12
8447985,Mike Hough,Quebec Nordiques,20,13,111,106,63,1,3,111,12.3,1,0,1,2,-7,33
8448017,Tony Hrkac,Quebec Nordiques,32,16,16,122,70,6,20,16,13.1,0,0,0,1,-22,48
8448204,Jeff Jackson,Quebec Nordiques,1,3,4,13,10,0,0,4,23.1,0,0,0,0,3,4
8448483,Darin Kimble,Quebec Nordiques,6,3,242,28,61,0,0,242,10.7,1,0,0,0,-3,9
8448624,Guy Lafleur,Quebec Nordiques,16,12,2,90,59,3,7,2,13.3,0,0,0,0,-10,28
8448674,Claude Lapointe,Quebec Nordiques,2,2,4,7,13,0,0,4,28.6,0,0,0,0,3,4
8448686,David Latta,Quebec Nordiques,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
8448797,Curtis Leschyshyn,Quebec Nordiques,7,3,49,57,55,2,3,49,5.3,1,0,0,0,-19,10
8448870,Claude Loiselle,Quebec Nordiques,11,6,88,89,66,0,1,88,6.7,0,0,2,3,-20,17
8449401,Michael McNeil,Quebec Nordiques,7,4,10,31,37,1,1,10,12.9,0,0,1,1,4,11
8449445,Tony McKegney,Quebec Nordiques,17,17,48,121,59,7,14,48,14.0,2,0,0,0,-27,34
8449463,Ken McRae,Quebec Nordiques,0,0,36,6,12,0,0,36,0.0,0,0,0,0,-7,0
8449633,Kip Miller,Quebec Nordiques,3,4,7,16,13,0,0,7,25.0,0,0,0,0,-1,7
8449698,Stephane Morin,Quebec Nordiques,27,13,30,63,48,3,7,30,20.6,2,0,1,2,6,40
8449895,Owen Nolan,Quebec Nordiques,10,3,109,54,59,0,0,109,5.6,0,0,0,0,-19,13
8450267,Scott Pearson,Quebec Nordiques,4,11,106,74,47,0,1,106,14.9,0,0,0,0,-9,15
8450348,Michel Petit,Quebec Nordiques,26,13,179,134,73,6,22,179,9.7,2,1,1,1,-34,39
8450611,Ken Quinney,Quebec Nordiques,4,3,2,19,19,1,2,2,15.8,0,0,0,0,-2,7
8450650,Herb Raglan,Quebec Nordiques,6,4,82,48,47,0,0,82,8.3,1,0,0,0,5,10
8450889,Serge Roberge,Quebec Nordiques,0,0,24,0,9,0,0,24,0.0,0,0,0,0,0,0
8451101,Joe Sakic,Quebec Nordiques,61,48,24,245,80,12,34,24,19.6,7,1,3,4,-26,109
8451117,Everett Sanipass,Quebec Nordiques,5,5,41,38,29,1,1,41,13.2,0,0,0,1,-15,10
8451570,Greg Smyth,Quebec Nordiques,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
8451774,Mats Sundin,Quebec Nordiques,36,23,58,155,80,4,12,58,14.8,0,0,0,0,-24,59
8452019,Tony Twist,Quebec Nordiques,0,0,104,2,24,0,0,104,0.0,0,0,0,0,-4,0
8452159,Wayne Van Dorp,Quebec Nordiques,0,1,30,2,4,0,0,30,50.0,0,0,0,0,1,1
8452209,Randy Velischek,Quebec Nordiques,10,2,42,47,79,0,0,42,4.3,0,0,0,1,-19,12
8452221,Mark Vermette,Quebec Nordiques,4,3,10,42,34,0,0,10,7.1,0,0,0,0,-15,7
8452226,Dan Vincelette,Quebec Nordiques,1,0,38,16,16,0,0,38,0.0,0,0,0,0,-10,1
8452516,Craig Wolanin,Quebec Nordiques,13,5,89,109,80,0,1,89,4.6,0,0,1,4,-13,18
8456956,Dan Lambert,Quebec Nordiques,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
8457185,Bruce Major,Quebec Nordiques,0,0,0,0,4,0,0,0,0.0,0,0,0,0,-1,0
8445088,Scott Arniel,Winnipeg Jets (1979),17,5,87,91,75,0,0,87,5.5,1,0,0,1,-12,22
8445118,Brent Ashton,Winnipeg Jets (1979),24,12,58,107,61,1,7,58,11.2,2,0,0,1,-10,36
8445253,Don Barber,Winnipeg Jets (1979),2,1,18,29,23,0,0,18,3.4,0,0,0,0,-6,3
8445938,Randy Carlyle,Winnipeg Jets (1979),19,9,44,89,52,2,8,44,10.1,1,0,0,1,6,28
8446127,Danton Cole,Winnipeg Jets (1979),11,13,24,109,66,1,2,24,11.9,1,0,1,1,-14,24
8446243,Shawn Cronin,Winnipeg Jets (1979),5,1,189,40,67,0,0,189,2.5,0,0,0,0,-10,6
8446437,Gord Donnelly,Winnipeg Jets (1979),4,3,265,35,57,0,0,265,8.6,0,0,0,0,-13,7
8446485,Kris Draper,Winnipeg Jets (1979),0,1,5,1,3,0,0,5,100.0,0,0,0,0,0,1
8446508,Craig Duncanson,Winnipeg Jets (1979),0,2,16,6,7,0,0,16,33.3,0,0,0,0,-5,2
8446516,Iain Duncan,Winnipeg Jets (1979),0,0,2,2,2,0,0,2,0.0,0,0,0,0,-1,0
8446551,Mike Eagles,Winnipeg Jets (1979),9,0,79,51,44,0,0,79,0.0,0,0,0,0,-10,9
8446626,Dave Ellett,Winnipeg Jets (1979),37,12,75,195,77,6,29,75,6.2,1,0,1,3,-8,49
8446676,Pat Elynuik,Winnipeg Jets (1979),34,31,73,150,80,16,31,73,20.7,4,1,0,0,-13,65
8446705,Bryan Erickson,Winnipeg Jets (1979),7,0,0,16,6,0,4,0,0.0,0,0,0,0,1,7
8446735,Doug Evans,Winnipeg Jets (1979),27,7,108,70,70,1,6,108,10.0,0,0,0,1,-1,34
8446797,Paul Fenton,Winnipeg Jets (1979),21,14,28,133,78,2,4,28,10.5,2,0,2,2,-5,35
8447989,Phil Housley,Winnipeg Jets (1979),53,23,24,206,78,12,37,24,11.2,3,0,1,2,-13,76
8448481,Sergei Kharin,Winnipeg Jets (1979),3,2,2,13,7,0,0,2,15.4,0,0,0,0,2,5
8448563,Mark Kumpel,Winnipeg Jets (1979),3,7,10,65,53,0,0,10,10.8,0,0,0,0,-10,10
8448678,Guy Larose,Winnipeg Jets (1979),0,0,8,7,7,0,0,8,0.0,0,0,0,0,-1,0
8448919,Paul MacDermid,Winnipeg Jets (1979),21,15,128,94,69,3,7,128,16.0,1,0,0,0,-6,36
8449122,Moe Mantha,Winnipeg Jets (1979),15,9,33,102,57,4,8,33,8.8,2,0,1,1,-20,24
8449137,Bryan Marchment,Winnipeg Jets (1979),2,2,91,24,28,0,1,91,8.3,0,0,0,0,-5,4
8449488,Dave McLlwain,Winnipeg Jets (1979),11,14,46,104,60,2,2,46,13.5,2,0,2,2,-13,25
8449924,Teppo Numminen,Winnipeg Jets (1979),25,8,28,151,80,3,12,28,5.3,0,0,0,0,-15,33
8449971,Fredrik Olausson,Winnipeg Jets (1979),29,12,24,168,71,5,21,24,7.1,0,0,0,1,-22,41
8449973,Eddie Olczyk,Winnipeg Jets (1979),41,30,82,226,79,14,27,82,13.3,2,0,0,1,-27,71
8450073,Mark Osborne,Winnipeg Jets (1979),11,11,63,87,55,1,1,63,12.6,2,0,1,1,-11,22
8450200,Greg Paslawski,Winnipeg Jets (1979),11,11,14,75,55,1,4,14,14.7,2,0,0,1,-6,22
8450486,Rudy Poeschek,Winnipeg Jets (1979),0,0,5,0,1,0,0,5,0.0,0,0,0,0,0,0
8451567,Doug Smail,Winnipeg Jets (1979),15,8,48,107,72,0,1,48,7.5,0,0,2,3,-8,23
8451697,Thomas Steen,Winnipeg Jets (1979),48,19,49,125,58,7,26,49,15.2,3,0,0,1,-3,67
8451828,Phil Sykes,Winnipeg Jets (1979),10,12,59,65,70,0,0,59,18.5,0,0,2,2,-9,22
