id,fullName,teamName,assists,goals,pim,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,points
8444871,George Allen,Chicago Blackhawks,17,14,22,45,1,4,22,2,2,0,0,31
8445062,Doug Bentley,Chicago Blackhawks,20,8,12,47,2,3,12,1,1,0,0,28
8445063,Max Bentley,Chicago Blackhawks,10,7,6,36,0,3,6,0,0,0,0,17
8445343,Bill Carse,Chicago Blackhawks,13,4,12,32,1,5,12,2,0,0,0,17
8445344,Bob Carse,Chicago Blackhawks,8,10,9,43,2,2,9,0,0,0,0,18
8445352,John Chad,Chicago Blackhawks,18,7,16,45,1,5,16,0,1,0,0,25
8445543,Joe Cooper,Chicago Blackhawks,5,5,76,45,2,4,76,0,0,0,0,10
8445838,Cully Dahlstrom,Chicago Blackhawks,14,11,6,42,0,0,6,3,1,1,1,25
8446617,Johnny Gottselig,Chicago Blackhawks,4,1,5,6,0,0,5,0,0,0,0,5
8446835,Phil Hergesheimer,Chicago Blackhawks,16,8,9,48,0,1,9,1,0,0,1,24
8447150,Pep Kelly,Chicago Blackhawks,3,5,7,22,0,0,7,0,0,2,2,8
8447543,Dave MacKay,Chicago Blackhawks,0,3,28,27,0,0,28,1,0,0,0,3
8447609,Mush March,Chicago Blackhawks,9,8,16,44,3,3,16,0,1,0,0,17
8447613,John Mariucci,Chicago Blackhawks,5,0,33,24,0,0,33,0,0,0,0,5
8448084,Joe Papike,Chicago Blackhawks,2,2,2,9,0,0,2,0,0,0,0,4
8448179,Jack Portland,Chicago Blackhawks,7,2,38,47,0,0,38,1,0,0,0,9
8448951,Earl Seibert,Chicago Blackhawks,17,3,52,46,1,3,52,2,0,0,2,20
8449233,Bill Thoms,Chicago Blackhawks,19,13,8,47,1,6,8,4,1,0,0,32
8449464,Art Wiebe,Chicago Blackhawks,2,3,28,45,0,0,28,0,0,0,0,5
8444857,Sid Abel,Detroit Red Wings,22,10,29,47,0,6,29,2,0,0,0,32
8445041,Dick Behling,Detroit Red Wings,0,0,0,3,0,0,0,0,0,0,0,0
8445182,Connie Brown,Detroit Red Wings,2,1,0,3,0,0,0,0,0,0,0,3
8445193,Eddie Bruneteau,Detroit Red Wings,1,1,2,11,0,0,2,0,0,0,0,2
8445194,Mud Bruneteau,Detroit Red Wings,17,12,12,45,2,3,12,3,0,0,0,29
8445349,Joe Carveth,Detroit Red Wings,1,2,2,19,0,0,2,0,0,0,0,3
8445946,Les Douglas,Detroit Red Wings,2,1,2,18,0,0,2,0,0,0,0,3
8446302,Joe Fisher,Detroit Red Wings,8,5,11,28,0,0,11,1,1,0,0,13
8446583,Gus Giesebrecht,Detroit Red Wings,18,7,7,43,0,1,7,2,0,0,0,25
8446612,Ebbie Goodfellow,Detroit Red Wings,17,5,35,47,0,3,35,0,0,0,0,22
8446651,Don Grosso,Detroit Red Wings,7,8,14,45,1,3,14,2,1,0,0,15
8446786,Art Herchenratter,Detroit Red Wings,2,1,2,10,0,0,2,0,0,0,0,3
8446924,Syd Howe,Detroit Red Wings,24,20,8,48,2,7,8,1,2,0,0,44
8447024,Harold Jackson,Detroit Red Wings,0,0,0,1,0,0,0,0,0,0,0,0
8447053,Bill Jennings,Detroit Red Wings,5,1,2,12,0,2,2,1,0,0,0,6
8447182,Ken Kilrea,Detroit Red Wings,0,2,0,15,0,0,0,0,0,0,0,2
8447501,Carl Liscombe,Detroit Red Wings,10,10,0,33,0,1,0,1,0,0,0,20
8447904,Alex Motter,Detroit Red Wings,12,13,18,48,4,4,18,2,0,1,1,25
8448066,Jimmy Orlando,Detroit Red Wings,10,1,99,48,0,0,99,1,0,0,0,11
8449184,Jack Stewart,Detroit Red Wings,5,2,56,47,0,0,56,1,0,0,0,7
8449359,Eddie Wares,Detroit Red Wings,16,10,34,42,3,4,34,4,1,0,0,26
8449393,Bob Whitelaw,Detroit Red Wings,1,0,2,23,0,0,2,0,0,0,0,1
8449472,Arch Wilder,Detroit Red Wings,2,0,2,18,0,0,2,0,0,0,0,2
8444875,Bill Allum,New York Rangers,1,0,0,1,0,0,0,0,0,0,0,1
8445508,Mac Colville,New York Rangers,17,14,18,47,1,3,18,2,0,1,5,31
8445509,Neil Colville,New York Rangers,28,14,28,48,0,2,28,3,0,1,3,42
8445742,Art Coulter,New York Rangers,14,5,42,36,1,5,42,0,0,0,0,19
8446459,Herb Foster,New York Rangers,0,1,0,5,0,0,0,0,0,0,0,1
8446766,Ott Heller,New York Rangers,16,2,42,48,1,1,42,0,0,0,1,18
8446850,Bryan Hextall Sr.,New York Rangers,21,26,16,48,3,5,16,5,0,0,1,47
8446861,Dutch Hiller,New York Rangers,10,8,20,44,1,2,20,1,0,0,0,18
8447126,Bill Juzda,New York Rangers,0,0,2,5,0,0,2,0,0,0,0,0
8447535,Kilby MacDonald,New York Rangers,6,5,12,47,0,0,12,0,0,0,0,11
8448096,Lynn Patrick,New York Rangers,24,20,12,48,2,5,12,1,0,3,5,44
8448097,Muzz Patrick,New York Rangers,8,2,21,47,0,0,21,1,0,0,1,10
8448151,Alf Pike,New York Rangers,13,6,23,48,1,1,23,3,0,1,2,19
8448174,Johnny Polich,New York Rangers,1,0,0,2,0,0,0,0,0,0,0,1
8448187,Babe Pratt,New York Rangers,17,3,52,48,1,5,52,0,0,0,0,20
8449018,Alex Shibicky,New York Rangers,15,10,14,41,1,2,14,0,0,0,0,25
8449068,Clint Smith,New York Rangers,11,14,0,48,0,1,0,4,0,1,1,25
8449085,Stan Smith,New York Rangers,1,2,0,8,0,1,0,0,0,0,0,3
8449372,Phil Watson,New York Rangers,25,11,49,40,0,1,49,1,0,2,2,36
8445034,Bobby Bauer,Boston Bruins,22,17,2,48,0,2,2,5,0,0,0,39
8445190,Gordie Bruce,Boston Bruins,1,0,2,7,0,0,2,0,0,0,0,1
8445307,Herb Cain,Boston Bruins,10,8,6,41,1,1,6,4,1,0,0,18
8445474,Dit Clapper,Boston Bruins,18,8,24,48,0,2,24,1,1,0,0,26
8445517,Roy Conacher,Boston Bruins,15,24,7,41,2,3,7,3,0,0,1,39
8445754,Bill Cowley,Boston Bruins,47,17,16,46,2,4,16,4,0,0,0,64
8445767,Jack Crawford,Boston Bruins,8,2,27,45,0,0,27,0,0,0,0,10
8445961,Woody Dumart,Boston Bruins,16,18,2,42,1,1,2,3,0,0,0,34
8446686,Red Hamill,Boston Bruins,1,0,0,8,0,0,0,0,0,0,0,1
8446860,Mel Hill,Boston Bruins,4,5,4,41,0,0,4,0,0,0,0,9
8446895,Flash Hollett,Boston Bruins,15,9,23,41,0,4,23,0,0,0,1,24
8447023,Art Jackson,Boston Bruins,15,17,10,48,3,7,10,3,0,1,1,32
8447824,Pat McReavy,Boston Bruins,1,0,2,7,0,0,2,0,0,0,0,1
