id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8444967,Ty Arbour,Chicago Blackhawks,4,3,30,44,30,1,0,7
8445288,Bobby Burns,Chicago Blackhawks,0,0,0,7,0,0,0,0
8445746,Rosie Couture,Chicago Blackhawks,3,1,24,43,24,0,0,4
8446564,Herb Gardiner,Chicago Blackhawks,0,0,0,12,0,0,0,0
8446617,Johnny Gottselig,Chicago Blackhawks,3,5,24,44,24,1,0,8
8446891,Val Hoffinger,Chicago Blackhawks,0,0,10,10,10,0,0,0
8447020,Dick Irvin,Chicago Blackhawks,1,6,36,39,36,0,0,7
8447143,Duke Keats,Chicago Blackhawks,1,0,0,3,0,0,0,1
8447468,Art Lesieur,Chicago Blackhawks,0,0,0,17,0,0,0,0
8447517,Clem Loughlin,Chicago Blackhawks,1,0,16,24,16,0,0,1
8447609,Mush March,Chicago Blackhawks,3,3,8,35,8,0,0,6
8447794,Alex McKinnon,Chicago Blackhawks,1,1,54,44,54,1,0,2
8447870,Earl Miller,Chicago Blackhawks,1,1,28,17,28,0,0,2
8448334,Vic Ripley,Chicago Blackhawks,2,11,29,38,29,3,0,13
8449220,Ralph Taylor,Chicago Blackhawks,0,0,64,38,64,0,0,0
8449383,Cy Wentworth,Chicago Blackhawks,1,2,46,44,46,1,0,3
8444855,Clarence Abel,New York Rangers,1,3,45,44,45,1,0,4
8445134,Frank Boucher,New York Rangers,16,10,8,44,8,3,0,26
8445142,Leo Bourgeault,New York Rangers,3,2,59,44,59,1,0,5
8445148,Billy Boyd,New York Rangers,0,0,5,11,5,0,0,0
8445347,Gerry Carson,New York Rangers,0,0,7,39,7,0,0,0
8445529,Bill Cook,New York Rangers,8,15,47,43,47,4,1,23
8445535,Fred Cook,New York Rangers,5,13,74,43,74,2,0,18
8447098,Ivan Johnson,New York Rangers,0,0,18,8,18,0,0,0
8447144,Butch Keeling,New York Rangers,3,6,39,43,39,2,0,9
8447318,Myles Lane,New York Rangers,0,2,36,43,36,0,0,2
8447913,Murray Murdoch,New York Rangers,6,8,22,44,22,3,1,14
8448039,Russell Oatman,New York Rangers,1,2,20,38,20,1,0,3
8449232,Paul Thompson,New York Rangers,7,10,40,44,40,4,0,17
8449292,Sparky Vail,New York Rangers,0,3,16,18,16,0,0,3
8445135,George Boucher,Ottawa Senators (1917),2,4,72,41,72,1,1,6
8445471,King Clancy,Ottawa Senators (1917),2,13,95,44,95,4,0,15
8446144,Fred Elliott,Ottawa Senators (1917),0,2,8,43,8,0,0,2
8446298,Frank Finnigan,Ottawa Senators (1917),4,15,73,44,73,6,3,19
8446600,Sam Godin,Ottawa Senators (1917),1,2,19,23,19,0,0,3
8446652,Len Grosvenor,Ottawa Senators (1917),2,3,18,42,18,0,1,5
8446673,Milt Halliday,Ottawa Senators (1917),0,0,0,16,0,0,0,0
8447181,Hec Kilrea,Ottawa Senators (1917),7,5,36,38,36,0,0,12
8447306,Joe Lamb,Ottawa Senators (1917),1,4,52,36,52,1,0,5
8448011,Frank Nighbor,Ottawa Senators (1917),4,1,22,30,22,1,1,5
8449019,Al Shields,Ottawa Senators (1917),1,0,10,42,10,0,0,1
8449059,Alex Smith,Ottawa Senators (1917),7,1,96,44,96,1,0,8
8449246,Bill Touhey,Ottawa Senators (1917),3,9,28,44,28,1,1,12
8445131,Edmond Bouchard,Pittsburgh Pirates,0,0,4,18,4,0,0,0
8445648,Baldy Cotton,Pittsburgh Pirates,4,4,46,43,46,0,0,8
8445843,Harold Darragh,Pittsburgh Pirates,3,9,6,43,6,1,0,12
8445955,Herb Drury,Pittsburgh Pirates,4,5,47,44,47,0,0,9
8446493,Frank Fredrickson,Pittsburgh Pirates,8,6,50,43,50,2,0,14
8446907,Albert Holway,Pittsburgh Pirates,0,4,20,44,20,0,0,4
8447523,Gerry Lowrey,Pittsburgh Pirates,12,5,30,44,30,0,0,17
