id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8444855,Clarence Abel,Chicago Blackhawks,3,3,46,38,46,0,0,6
8444863,Stew Adams,Chicago Blackhawks,6,4,18,24,18,1,0,10
8444967,Ty Arbour,Chicago Blackhawks,8,10,26,42,26,2,0,18
8445127,Helge Bostrom,Chicago Blackhawks,1,0,16,20,16,0,0,1
8445288,Bobby Burns,Chicago Blackhawks,0,1,2,12,2,1,0,1
8445537,Tom Cook,Chicago Blackhawks,16,14,18,41,18,1,0,30
8445746,Rosie Couture,Chicago Blackhawks,8,8,67,43,67,1,0,16
8445968,Duke Dutkowski,Chicago Blackhawks,10,7,44,44,44,3,0,17
8446617,Johnny Gottselig,Chicago Blackhawks,4,21,30,39,30,4,1,25
8446631,Ted Graham,Chicago Blackhawks,2,1,25,26,25,1,0,3
8447018,Frank Ingram,Chicago Blackhawks,10,6,28,37,28,1,0,16
8447609,Mush March,Chicago Blackhawks,7,8,50,43,50,0,0,15
8447870,Earl Miller,Chicago Blackhawks,5,11,50,28,50,4,0,16
8448334,Vic Ripley,Chicago Blackhawks,8,8,35,38,35,1,0,16
8449126,Art Somers,Chicago Blackhawks,13,11,76,44,76,1,0,24
8449220,Ralph Taylor,Chicago Blackhawks,0,3,74,39,74,0,0,3
8449383,Cy Wentworth,Chicago Blackhawks,4,3,30,37,30,0,0,7
8445134,Frank Boucher,New York Rangers,36,26,16,42,16,1,1,62
8445142,Leo Bourgeault,New York Rangers,6,7,56,44,56,1,0,13
8445529,Bill Cook,New York Rangers,30,29,56,44,56,3,1,59
8445535,Fred Cook,New York Rangers,18,24,59,43,59,5,0,42
8446458,Harry Foster,New York Rangers,0,0,16,31,16,0,0,0
8446607,Leroy Goldsworthy,New York Rangers,1,4,16,44,16,0,0,5
8446843,Orville Heximer,New York Rangers,0,1,4,19,4,0,0,1
8447098,Ivan Johnson,New York Rangers,3,3,84,30,84,2,0,6
8447144,Butch Keeling,New York Rangers,7,19,34,43,34,3,1,26
8447913,Murray Murdoch,New York Rangers,12,13,22,44,22,0,0,25
8448237,Leo Quenneville,New York Rangers,3,0,10,25,10,0,0,3
8448298,Bill Regan,New York Rangers,0,0,2,9,2,0,0,0
8448315,Leo Reise Sr.,New York Rangers,3,3,20,38,20,0,0,6
