id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8444967,Ty Arbour,Chicago Blackhawks,5,5,32,39,32,1,0,10
8445189,Cecil Browne,Chicago Blackhawks,0,2,4,13,4,0,0,2
8445873,Corb Denneny,Chicago Blackhawks,0,5,12,18,12,1,0,5
8445972,Babe Dye,Chicago Blackhawks,0,0,0,11,0,0,0,0
8446489,Gord Fraser,Chicago Blackhawks,2,4,58,41,58,3,0,6
8446631,Ted Graham,Chicago Blackhawks,0,1,8,20,8,0,0,1
8446891,Val Hoffinger,Chicago Blackhawks,1,0,18,18,18,0,0,1
8447020,Dick Irvin,Chicago Blackhawks,4,5,14,12,14,0,0,9
8447143,Duke Keats,Chicago Blackhawks,10,14,58,37,58,2,0,24
8447283,Leo Lafrance,Chicago Blackhawks,0,2,6,30,6,0,0,2
8447545,Mickey MacKay,Chicago Blackhawks,4,17,23,36,23,2,0,21
8447671,Eddie McCalmon,Chicago Blackhawks,0,2,6,23,6,0,0,2
8447827,Charley McVeigh,Chicago Blackhawks,8,6,10,40,10,0,0,14
8447870,Earl Miller,Chicago Blackhawks,1,1,34,22,34,0,0,2
8447887,Amby Moran,Chicago Blackhawks,1,1,14,23,14,1,0,2
8448429,Eddie Rodden,Chicago Blackhawks,8,3,42,41,42,0,0,11
8449156,Barney Stanley,Chicago Blackhawks,0,0,0,1,0,0,0,0
8449220,Ralph Taylor,Chicago Blackhawks,1,1,36,25,36,0,0,2
8449253,Bob Trapp,Chicago Blackhawks,2,0,37,38,37,0,0,2
8449366,Nick Wasnie,Chicago Blackhawks,0,1,22,14,22,0,0,1
8449383,Cy Wentworth,Chicago Blackhawks,5,5,31,43,31,0,0,10
8444855,Clarence Abel,New York Rangers,1,0,28,23,28,0,0,1
8445134,Frank Boucher,New York Rangers,12,23,12,44,12,5,0,35
8445142,Leo Bourgeault,New York Rangers,0,7,72,37,72,2,0,7
8445148,Billy Boyd,New York Rangers,0,4,11,43,11,2,0,4
8445311,Frank Callighen,New York Rangers,0,0,32,36,32,0,0,0
8445529,Bill Cook,New York Rangers,6,18,42,43,42,4,0,24
8445535,Fred Cook,New York Rangers,14,14,45,44,45,2,0,28
8446641,Alex Gray,New York Rangers,1,7,28,43,28,0,0,8
8447098,Ivan Johnson,New York Rangers,6,10,146,42,146,2,0,16
8447913,Murray Murdoch,New York Rangers,3,7,16,44,16,1,0,10
8448949,Laurie Scott,New York Rangers,1,0,6,23,6,0,0,1
8449232,Paul Thompson,New York Rangers,3,4,24,42,24,1,0,7
