id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8445135,George Boucher,Ottawa Senators (1917),2,3,29,17,29,0,0,5
8445168,Punch Broadbent,Ottawa Senators (1917),3,4,12,8,12,1,1,7
8445314,Harry Cameron,Ottawa Senators (1917),5,11,35,14,35,2,2,16
8445497,Sprague Cleghorn,Ottawa Senators (1917),8,7,27,18,27,2,0,15
8445844,Jack Darragh,Ottawa Senators (1917),4,11,30,14,30,3,0,15
8445874,Cy Denneny,Ottawa Senators (1917),6,18,55,18,55,2,0,24
8446581,Eddie Gerard,Ottawa Senators (1917),9,4,17,18,17,0,0,13
8447522,Ed Lowrey,Ottawa Senators (1917),1,0,3,10,3,0,0,1
8448011,Frank Nighbor,Ottawa Senators (1917),9,19,30,18,30,2,0,28
8448441,Skene Ronan,Ottawa Senators (1917),0,0,6,11,6,0,0,0
8445497,Sprague Cleghorn,Ottawa Senators (1917),8,7,27,18,27,2,0,15
8444956,Amos Arbour,Montréal Canadiens,0,0,3,1,3,0,0,0
8445044,Billy Bell,Montréal Canadiens,0,0,0,1,0,0,0,0
8445071,Louis Berlinquette,Montréal Canadiens,4,5,12,18,12,2,0,9
8445496,Odie Cleghorn,Montréal Canadiens,6,21,30,18,30,1,0,27
8445571,Bert Corbeau,Montréal Canadiens,3,2,54,16,54,1,0,5
8445744,Billy Coutu,Montréal Canadiens,2,1,18,16,18,0,0,3
8445914,Fred Doherty,Montréal Canadiens,0,0,0,2,0,0,0,0
8446669,Joe Hall,Montréal Canadiens,2,7,130,16,130,0,0,9
8447289,Newsy Lalonde,Montréal Canadiens,9,23,42,17,42,2,0,32
8447594,Joe Malone,Montréal Canadiens,2,7,3,8,3,0,0,9
8447761,Jack McDonald,Montréal Canadiens,4,8,6,18,6,1,0,12
8448154,Didier Pitre,Montréal Canadiens,4,14,15,17,15,3,0,18
8444861,Jack Adams,Toronto Arenas,3,3,47,17,47,0,0,6
8445314,Harry Cameron,Toronto Arenas,5,11,35,14,35,2,2,16
8445802,Rusty Crawford,Toronto Arenas,4,7,49,18,49,0,0,11
8445873,Corb Denneny,Toronto Arenas,3,8,15,16,15,1,0,11
8447037,Paul Jacobs,Toronto Arenas,0,0,0,1,0,0,0,0
8447832,Harry Meeking,Toronto Arenas,4,7,32,14,32,0,0,11
8447907,Harry Mummery,Toronto Arenas,0,2,35,13,35,0,0,2
8448013,Reg Noble,Toronto Arenas,4,10,43,17,43,2,0,14
8448246,Ken Randall,Toronto Arenas,6,9,47,15,47,1,0,15
8448336,Dave Ritchie,Toronto Arenas,0,0,9,4,9,0,0,0
8449049,Alf Skinner,Toronto Arenas,5,12,26,17,26,1,0,17
