id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8444855,Clarence Abel,Chicago Blackhawks,4,0,63,47,63,0,0,4
8445127,Helge Bostrom,Chicago Blackhawks,0,1,14,20,14,1,0,1
8445255,Billy Burch,Chicago Blackhawks,1,5,6,47,6,3,0,6
8445537,Tom Cook,Chicago Blackhawks,14,12,30,48,30,2,0,26
8445742,Art Coulter,Chicago Blackhawks,2,3,53,46,53,2,0,5
8445746,Rosie Couture,Chicago Blackhawks,7,10,26,46,26,3,1,17
8446617,Johnny Gottselig,Chicago Blackhawks,11,11,6,41,6,2,0,22
8446631,Ted Graham,Chicago Blackhawks,8,3,57,47,57,0,0,11
8446901,Lou Holmes,Chicago Blackhawks,0,0,0,18,0,0,0,0
8447052,Roger Jenkins,Chicago Blackhawks,10,3,42,46,42,0,0,13
8447609,Mush March,Chicago Blackhawks,11,9,38,48,38,1,0,20
8447770,Don McFadyen,Chicago Blackhawks,10,5,20,48,20,0,0,15
8448334,Vic Ripley,Chicago Blackhawks,9,4,27,38,27,1,0,13
8448440,Doc Romnes,Chicago Blackhawks,11,10,2,47,2,2,0,21
8449232,Paul Thompson,Chicago Blackhawks,20,13,27,48,27,1,0,33
8449464,Art Wiebe,Chicago Blackhawks,0,0,0,4,0,0,0,0
8450173,Clarence MacKenzie,Chicago Blackhawks,4,4,13,36,13,1,0,8
8444987,Larry Aurie,Detroit Red Wings,11,12,25,45,25,1,0,23
8445296,Walt Buswell,Detroit Red Wings,4,2,16,46,16,1,0,6
8445346,Frank Carson,Detroit Red Wings,13,12,35,45,35,5,0,25
8445850,Bob Davis,Detroit Red Wings,0,0,0,3,0,0,0,0
8446152,Hap Emms,Detroit Red Wings,13,9,78,43,78,4,0,22
8446182,Stewart Evans,Detroit Red Wings,6,2,74,48,74,0,0,8
8446559,John Gallagher,Detroit Red Wings,5,4,48,41,48,0,0,9
8446607,Leroy Goldsworthy,Detroit Red Wings,6,3,6,25,6,0,0,9
8446612,Ebbie Goodfellow,Detroit Red Wings,8,12,47,41,47,2,0,20
8446694,Emil Hanson,Detroit Red Wings,0,0,6,7,6,0,0,0
8446750,George Hay,Detroit Red Wings,6,1,9,34,9,1,0,7
8447484,Herbie Lewis,Detroit Red Wings,14,20,20,48,20,4,0,34
8447614,Gus Marker,Detroit Red Wings,1,1,8,13,8,0,0,2
8447879,Ron Moffat,Detroit Red Wings,1,1,6,24,6,0,0,2
8448013,Reg Noble,Detroit Red Wings,0,0,22,25,22,0,0,0
8449128,John Sorrell,Detroit Red Wings,10,14,11,47,11,3,0,24
8449308,Carl Voss,Detroit Red Wings,16,8,10,48,10,1,0,24
8449593,Eddie Wiseman,Detroit Red Wings,8,8,16,43,16,1,0,16
8449666,Doug Young,Detroit Red Wings,6,5,59,48,59,2,0,11
8444982,Ossie Asmundson,New York Rangers,10,5,20,48,20,0,0,15
8445134,Frank Boucher,New York Rangers,28,7,4,46,4,3,0,35
8445157,Doug Brennan,New York Rangers,4,5,91,48,91,0,1,9
8445529,Bill Cook,New York Rangers,22,28,51,48,51,5,1,50
8445535,Fred Cook,New York Rangers,15,22,35,48,35,5,0,37
