id,fullName,teamName,assists,goals,pim,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,points
8445093,Andy Blair,Chicago Blackhawks,3,0,33,44,0,0,33,0,0,0,0,3
8445165,Milt Brink,Chicago Blackhawks,0,0,0,5,0,0,0,0,0,0,0,0
8445233,Glenn Brydson,Chicago Blackhawks,7,7,20,30,0,1,20,1,0,0,0,14
8445262,Marty Burke,Chicago Blackhawks,3,1,28,43,0,0,28,0,0,0,0,4
8445537,Tom Cook,Chicago Blackhawks,2,0,0,15,0,0,0,0,0,0,0,2
8446617,Johnny Gottselig,Chicago Blackhawks,21,9,10,47,2,6,10,2,0,0,2,30
8447024,Harold Jackson,Chicago Blackhawks,3,1,6,38,0,0,6,0,0,0,0,4
8447150,Pep Kelly,Chicago Blackhawks,4,15,8,45,2,3,8,2,0,0,0,19
8447163,Bill Kendall,Chicago Blackhawks,4,5,10,39,0,0,10,0,0,1,1,9
8447222,Ike Klingbeil,Chicago Blackhawks,2,1,2,5,0,0,2,0,0,0,0,3
8447327,Benjamin LaPrairie,Chicago Blackhawks,0,0,0,7,0,0,0,0,0,0,0,0
8447328,Wildor Larochelle,Chicago Blackhawks,10,9,6,43,0,1,6,1,0,1,1,19
8447473,Alex Levinsky,Chicago Blackhawks,8,0,32,48,0,0,32,0,0,0,0,8
8447609,Mush March,Chicago Blackhawks,6,11,31,37,2,3,31,2,0,0,0,17
8448080,Pete Palangio,Chicago Blackhawks,9,8,16,30,1,3,16,1,0,0,0,17
8448440,Doc Romnes,Chicago Blackhawks,15,4,2,28,1,4,2,0,0,0,0,19
8448791,Butch Schaeffer,Chicago Blackhawks,0,0,6,5,0,0,6,0,0,0,0,0
8448951,Earl Seibert,Chicago Blackhawks,6,9,46,43,1,2,46,2,0,2,3,15
8449205,Al Suomi,Chicago Blackhawks,0,0,0,5,0,0,0,0,0,0,0,0
8449232,Paul Thompson,Chicago Blackhawks,18,17,28,47,1,4,28,3,0,0,1,35
8449266,Lou Trudel,Chicago Blackhawks,12,6,11,45,1,2,11,0,0,0,0,18
8449464,Art Wiebe,Chicago Blackhawks,2,0,6,43,0,0,6,0,0,0,0,2
8444987,Larry Aurie,Detroit Red Wings,19,23,20,45,1,1,20,6,0,1,1,42
8445026,Marty Barry,Detroit Red Wings,27,17,6,47,1,2,6,4,1,0,0,44
8445146,Ralph Bowman,Detroit Red Wings,1,0,24,44,0,0,24,0,0,0,0,1
8445194,Mud Bruneteau,Detroit Red Wings,7,9,18,43,0,0,18,4,0,0,0,16
8445856,Don Deacon,Detroit Red Wings,0,0,2,4,0,0,2,0,0,0,0,0
8446559,John Gallagher,Detroit Red Wings,0,1,8,19,0,0,8,0,0,0,0,1
8446612,Ebbie Goodfellow,Detroit Red Wings,16,9,43,48,0,2,43,1,0,0,0,25
8446924,Syd Howe,Detroit Red Wings,10,17,10,45,0,0,10,1,0,0,0,27
8447148,Pete Kelly,Detroit Red Wings,4,5,12,47,0,0,12,1,0,0,0,9
8447181,Hec Kilrea,Detroit Red Wings,9,6,20,48,1,1,20,1,0,0,0,15
8447183,Wally Kilrea,Detroit Red Wings,14,8,6,47,0,0,6,2,0,0,0,22
8447484,Herbie Lewis,Detroit Red Wings,18,14,14,45,0,0,14,1,0,0,0,32
8447575,Howie Mackie,Detroit Red Wings,0,1,4,9,0,0,4,0,0,0,0,1
8447746,Bucko McDonald,Detroit Red Wings,5,3,20,47,0,0,20,0,0,0,0,8
8448066,Jimmy Orlando,Detroit Red Wings,1,0,8,9,0,0,8,0,0,0,0,1
8448139,Gord Pettinger,Detroit Red Wings,15,7,13,48,0,0,13,2,0,0,0,22
8448463,Rolly Roulston,Detroit Red Wings,5,0,10,21,0,0,10,0,0,0,0,5
8449014,John Sherf,Detroit Red Wings,0,0,0,1,0,0,0,0,0,0,0,0
8449128,John Sorrell,Detroit Red Wings,16,8,4,48,0,3,4,2,0,0,0,24
8449479,Burr Williams,Detroit Red Wings,0,0,4,2,0,0,4,0,0,0,0,0
8449666,Doug Young,Detroit Red Wings,0,0,6,11,0,0,6,0,0,0,0,0
8445134,Frank Boucher,New York Rangers,13,7,5,44,0,2,5,1,1,0,0,20
8445508,Mac Colville,New York Rangers,12,7,10,46,1,7,10,2,0,0,0,19
8445509,Neil Colville,New York Rangers,18,10,33,45,2,9,33,2,0,0,0,28
8445529,Bill Cook,New York Rangers,4,1,2,21,0,2,2,0,0,0,0,5
8445543,Joe Cooper,New York Rangers,3,0,42,48,0,0,42,0,0,0,0,3
8445742,Art Coulter,New York Rangers,5,1,27,47,1,1,27,0,0,0,0,6
8445908,Cecil Dillon,New York Rangers,11,20,13,48,5,7,13,3,2,1,1,31
8446766,Ott Heller,New York Rangers,12,5,42,48,1,3,42,2,1,1,2,17
8446850,Bryan Hextall Sr.,New York Rangers,1,0,0,3,0,0,0,0,0,0,0,1
8447098,Ivan Johnson,New York Rangers,0,0,20,35,0,0,20,0,0,0,0,0
8447144,Butch Keeling,New York Rangers,4,22,24,48,3,3,24,4,2,0,0,26
8447235,Joe Krol,New York Rangers,0,0,0,1,0,0,0,0,0,0,0,0
8447913,Murray Murdoch,New York Rangers,14,0,16,48,0,0,16,0,0,0,0,14
8448096,Lynn Patrick,New York Rangers,16,8,23,45,2,8,23,0,1,0,0,24
8448187,Babe Pratt,New York Rangers,7,8,23,47,1,3,23,1,0,0,0,15
8449018,Alex Shibicky,New York Rangers,8,14,30,47,6,6,30,1,1,1,1,22
8449068,Clint Smith,New York Rangers,0,1,0,2,0,0,0,0,0,0,0,1
8449359,Eddie Wares,New York Rangers,0,2,0,2,0,0,0,1,0,0,0,2
8449372,Phil Watson,New York Rangers,17,11,22,48,0,3,22,2,1,0,0,28
8445034,Bobby Bauer,Boston Bruins,0,1,0,1,0,0,0,0,0,0,0,1
8445037,Red Beattie,Boston Bruins,7,8,10,48,0,1,10,3,1,0,0,15
8445474,Dit Clapper,Boston Bruins,8,17,25,48,0,1,25,4,0,0,0,25
8445535,Fred Cook,Boston Bruins,5,4,8,44,0,1,8,0,1,0,0,9
8445754,Bill Cowley,Boston Bruins,21,13,4,46,0,1,4,2,0,0,0,34
8445960,Lorne Duguid,Boston Bruins,0,1,2,2,0,0,2,0,0,0,0,1
8445961,Woody Dumart,Boston Bruins,4,4,2,17,0,0,2,1,0,0,0,8
8446582,Ray Getliffe,Boston Bruins,15,16,28,48,2,2,28,4,0,1,1,31
8446607,Leroy Goldsworthy,Boston Bruins,6,8,8,47,2,2,8,4,1,0,0,14
8446631,Ted Graham,Boston Bruins,1,2,20,32,0,0,20,0,0,0,0,3
8446895,Flash Hollett,Boston Bruins,7,3,22,48,0,1,22,1,0,0,1,10
8447056,Joe Jerwa,Boston Bruins,13,9,57,46,0,0,57,1,0,0,0,22
8447130,Walter Kalbfleish,Boston Bruins,0,0,4,7,0,0,4,0,0,0,0,0
8447606,Sylvio Mantha,Boston Bruins,0,0,2,4,0,0,2,0,0,0,0,0
8447809,Sammy McManus,Boston Bruins,0,0,0,1,0,0,0,0,0,0,0,0
8448061,Jim O'Neil,Boston Bruins,2,0,6,21,0,1,6,0,0,0,0,2
