id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
1,New Jersey Devils,82,45,24,5,103,62.8,3.061,2.476,0.9286,20.1,55.0,39.0,274.0,87.5,33.1341,25.622,0.622,0.459,0.7,0.882,0.587,0.471,5195.0,2563.0,2632.0,49.3,9.2,0.903
2,New York Islanders,82,24,48,1,58,35.4,2.366,3.354,0.8302,14.1,45.0,84.0,320.0,80.0,26.1829,33.439,0.485,0.163,0.524,0.81,0.357,0.277,5540.0,2652.0,2888.0,47.9,9.0,0.9
3,New York Rangers,82,29,38,3,73,44.5,2.659,3.0,1.1969,16.9,55.0,49.0,325.0,83.2,29.4634,29.8293,0.528,0.217,0.682,0.759,0.378,0.343,5124.0,2722.0,2402.0,53.1,9.0,0.899
4,Philadelphia Flyers,82,45,22,3,105,64.0,2.89,2.183,0.9874,20.3,69.0,42.0,340.0,86.7,30.4268,23.6463,0.696,0.361,0.844,0.756,0.542,0.438,5399.0,2793.0,2606.0,51.7,9.5,0.908
5,Pittsburgh Penguins,82,37,31,6,88,53.7,2.939,2.878,1.3468,15.6,54.0,56.0,346.0,82.5,26.061,28.7317,0.591,0.289,0.69,0.848,0.556,0.412,5216.0,2503.0,2713.0,48.0,11.3,0.9
6,Boston Bruins,82,24,33,6,73,44.5,2.561,3.024,1.1898,14.4,51.0,55.0,355.0,79.4,30.6829,27.7317,0.447,0.159,0.567,0.692,0.405,0.158,5286.0,2588.0,2698.0,49.0,8.3,0.891
7,Buffalo Sabres,82,35,32,4,85,51.8,2.598,2.488,0.9645,10.5,37.0,54.0,351.0,85.0,27.1707,26.9268,0.609,0.194,0.714,0.848,0.489,0.344,5609.0,2687.0,2922.0,47.9,9.6,0.908
8,Montréal Canadiens,82,35,34,4,83,50.6,2.39,2.366,1.0,16.7,54.0,40.0,323.0,86.7,26.0366,27.6098,0.591,0.237,0.708,0.786,0.515,0.367,5239.0,2559.0,2680.0,48.9,9.2,0.914
9,Ottawa Senators,82,41,28,2,95,57.9,2.976,2.561,1.0069,16.8,52.0,34.0,310.0,87.5,31.5122,25.1707,0.789,0.25,0.75,0.844,0.554,0.375,5462.0,2750.0,2712.0,50.4,9.4,0.898
10,Toronto Maple Leafs,82,45,27,3,100,61.0,3.0,2.707,1.2743,17.8,57.0,58.0,321.0,82.4,26.3537,29.0976,0.762,0.325,0.867,0.895,0.633,0.5,5352.0,2719.0,2633.0,50.8,11.4,0.907
11,Atlanta Thrashers,82,14,57,4,39,23.8,2.073,3.817,0.738,12.6,44.0,76.0,348.0,80.3,25.7927,31.0122,0.28,0.123,0.333,0.5,0.381,0.102,5419.0,2496.0,2923.0,46.1,8.0,0.877
12,Carolina Hurricanes,82,37,35,0,84,51.2,2.646,2.634,0.9645,17.0,58.0,40.0,342.0,84.1,26.3537,26.1098,0.659,0.244,0.692,0.857,0.486,0.415,5382.0,2711.0,2671.0,50.4,10.0,0.899
13,Florida Panthers,82,43,27,6,98,59.8,2.976,2.549,1.1786,17.2,58.0,47.0,338.0,85.4,26.8049,29.6463,0.578,0.459,0.794,0.886,0.545,0.511,5279.0,2441.0,2838.0,46.2,11.1,0.914
14,Tampa Bay Lightning,82,19,47,7,54,32.9,2.488,3.78,1.3333,14.0,51.0,77.0,365.0,80.7,25.4146,30.4146,0.387,0.137,0.375,0.632,0.158,0.259,5651.0,2849.0,2802.0,50.4,9.8,0.876
15,Washington Capitals,82,44,24,2,102,62.2,2.768,2.366,1.2826,15.0,43.0,47.0,287.0,86.2,27.6707,27.6829,0.721,0.333,0.714,0.867,0.548,0.486,5485.0,2922.0,2563.0,53.3,10.0,0.915
16,Chicago Blackhawks,82,33,37,2,78,47.6,2.951,2.988,1.0889,16.0,52.0,58.0,325.0,83.6,25.6829,29.2317,0.563,0.176,0.667,0.743,0.296,0.451,5280.0,2508.0,2772.0,47.5,11.5,0.898
17,Detroit Red Wings,82,48,22,2,108,65.9,3.39,2.561,1.0547,20.4,69.0,44.0,338.0,85.8,31.9512,26.4512,0.673,0.455,0.7,0.872,0.597,0.55,5353.0,2857.0,2496.0,53.4,10.6,0.903
18,Nashville Predators,82,28,40,7,70,42.7,2.427,2.927,0.7468,13.5,41.0,46.0,304.0,85.1,27.0122,30.4756,0.513,0.186,0.609,0.808,0.333,0.314,5122.0,2514.0,2608.0,49.1,9.0,0.904
19,St. Louis Blues,82,51,19,1,114,69.5,3.024,2.012,0.7738,17.8,61.0,42.0,342.0,87.8,29.8171,22.122,0.75,0.5,0.806,0.921,0.615,0.75,5276.0,2750.0,2526.0,52.1,10.1,0.909
20,Calgary Flames,82,31,36,5,77,47.0,2.573,3.122,0.9197,17.9,59.0,74.0,330.0,79.7,30.0976,29.0366,0.571,0.175,0.708,0.741,0.452,0.27,5526.0,2721.0,2805.0,49.2,8.5,0.892
21,Colorado Avalanche,82,42,28,1,96,58.5,2.841,2.451,1.1852,19.5,59.0,52.0,302.0,84.4,26.6829,27.8415,0.674,0.306,0.75,0.857,0.6,0.476,5354.0,2758.0,2596.0,51.5,10.6,0.912
22,Edmonton Oilers,82,32,26,8,88,53.7,2.756,2.585,1.2314,15.8,53.0,54.0,336.0,85.3,28.1707,28.2683,0.55,0.238,0.667,0.741,0.39,0.444,5378.0,2747.0,2631.0,51.1,9.8,0.909
23,Vancouver Canucks,82,30,29,8,83,50.6,2.768,2.89,0.7692,15.8,51.0,63.0,323.0,80.4,26.6707,27.9512,0.513,0.233,0.556,0.793,0.432,0.286,5432.0,2707.0,2725.0,49.8,10.4,0.897
24,Anaheim Ducks,82,34,33,3,83,50.6,2.646,2.768,0.9206,16.6,55.0,62.0,332.0,79.0,28.6829,27.5488,0.605,0.25,0.621,0.818,0.391,0.455,5563.0,2730.0,2833.0,49.1,9.2,0.9
25,Dallas Stars,82,43,23,6,102,62.2,2.573,2.244,0.578,15.7,54.0,33.0,343.0,89.2,25.5976,26.622,0.612,0.394,0.636,0.667,0.564,0.487,5518.0,2901.0,2617.0,52.6,10.1,0.916
26,Los Angeles Kings,82,39,27,4,94,57.3,2.988,2.78,0.7616,16.9,60.0,66.0,356.0,82.3,29.5244,27.9268,0.632,0.341,0.786,0.879,0.39,0.514,5438.0,2814.0,2624.0,51.8,10.1,0.9
27,Phoenix Coyotes,82,39,31,4,90,54.9,2.829,2.78,1.1429,11.9,37.0,43.0,310.0,85.9,26.9878,28.4634,0.675,0.286,0.68,0.727,0.5,0.475,5297.0,2667.0,2630.0,50.4,10.5,0.902
28,San Jose Sharks,82,35,30,7,87,53.0,2.744,2.61,1.1203,16.4,62.0,61.0,377.0,83.6,27.4146,28.7439,0.632,0.25,0.731,0.875,0.406,0.444,5509.0,2713.0,2796.0,49.2,10.0,0.909
