id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,70,34,28,0,76,54.3,3.2,2.514,1.2589,0.0,48.0,47.0,0.0,0.0,30.0286,31.1714,0.757,0.182,0.821,0.966,0.654,0.455,0.0,0.0,0.0,0.0,10.7,0.919
17,Detroit Red Wings,70,40,23,0,87,62.1,3.2,2.5,1.4118,0.0,57.0,52.0,0.0,0.0,35.0,27.8857,0.732,0.345,0.96,1.0,0.717,0.412,0.0,0.0,0.0,0.0,9.1,0.91
3,New York Rangers,70,20,38,0,52,37.1,2.557,3.514,0.6236,0.0,55.0,45.0,0.0,0.0,28.6571,33.9286,0.417,0.147,0.682,0.889,0.5,0.3,0.0,0.0,0.0,0.0,8.9,0.896
6,Boston Bruins,70,21,43,0,48,34.3,2.371,3.614,0.6667,0.0,25.0,53.0,0.0,0.0,28.9429,34.9286,0.643,0.071,0.714,0.857,0.647,0.213,0.0,0.0,0.0,0.0,8.2,0.897
8,Montréal Canadiens,70,36,23,0,83,59.3,3.014,2.643,1.136,0.0,58.0,41.0,0.0,0.0,32.9714,28.2286,0.703,0.303,0.85,0.931,0.711,0.333,0.0,0.0,0.0,0.0,9.1,0.906
10,Toronto Maple Leafs,70,30,26,0,74,52.9,2.914,2.471,1.4149,0.0,51.0,56.0,0.0,0.0,31.2429,30.7,0.667,0.25,0.833,0.962,0.676,0.35,0.0,0.0,0.0,0.0,9.3,0.919
