id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,50,23,20,0,53,53.0,4.0,3.56,0.0,0.0,38.0,27.0,0.0,0.0,0.0,0.0,0.548,0.316,0.684,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Detroit Red Wings,50,20,20,0,50,50.0,2.92,3.18,0.0,0.0,27.0,24.0,0.0,0.0,0.0,0.0,0.652,0.185,0.8,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,New York Rangers,50,13,28,0,35,35.0,2.88,3.82,0.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.407,0.087,0.533,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Boston Bruins,50,24,18,0,56,56.0,3.34,3.12,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,0.636,0.357,1.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Montréal Canadiens,50,28,17,0,61,61.0,3.44,2.68,0.0,0.0,19.0,27.0,0.0,0.0,0.0,0.0,0.913,0.259,0.909,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Toronto Maple Leafs,50,19,24,0,45,45.0,3.48,3.7,0.0,0.0,17.0,19.0,0.0,0.0,0.0,0.0,0.609,0.185,0.714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
