id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,70,28,29,0,69,49.3,2.729,2.571,1.0687,0.0,30.0,41.0,0.0,0.0,30.3571,31.1571,0.621,0.244,0.8,0.885,0.76,0.31,0.0,0.0,0.0,0.0,9.0,0.917
17,Detroit Red Wings,70,26,29,0,67,47.9,2.657,2.814,0.8931,0.0,32.0,25.0,0.0,0.0,33.2429,28.8571,0.531,0.237,0.737,0.889,0.571,0.313,0.0,0.0,0.0,0.0,8.0,0.902
3,New York Rangers,70,17,38,0,49,35.0,2.671,3.529,0.7809,0.0,34.0,53.0,0.0,0.0,30.5,33.6143,0.414,0.122,0.667,0.7,0.333,0.265,0.0,0.0,0.0,0.0,8.8,0.895
6,Boston Bruins,70,28,34,0,64,45.7,3.143,3.443,0.9045,0.0,47.0,37.0,0.0,0.0,29.3286,33.1,0.688,0.158,0.85,0.88,0.731,0.229,0.0,0.0,0.0,0.0,10.7,0.896
8,Montréal Canadiens,70,40,18,0,92,65.7,3.643,2.543,1.472,0.0,54.0,35.0,0.0,0.0,35.5714,29.7571,0.733,0.28,0.96,0.943,0.8,0.429,0.0,0.0,0.0,0.0,10.2,0.915
10,Toronto Maple Leafs,70,35,26,0,79,56.4,2.843,2.786,1.0357,0.0,31.0,37.0,0.0,0.0,30.6571,33.1714,0.698,0.185,0.786,0.92,0.857,0.378,0.0,0.0,0.0,0.0,9.3,0.916
