id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,70,13,47,0,36,25.7,2.443,4.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,0.458,0.043,0.727,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Detroit Red Wings,70,44,13,0,101,72.1,3.371,1.986,0.0,0.0,37.0,17.0,0.0,0.0,0.0,0.0,0.761,0.375,0.938,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,New York Rangers,70,20,29,0,61,43.6,2.414,2.871,0.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,0.514,0.057,0.722,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Boston Bruins,70,22,30,0,62,44.3,2.543,2.814,0.0,0.0,32.0,19.0,0.0,0.0,0.0,0.0,0.516,0.154,0.923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Montréal Canadiens,70,25,30,0,65,46.4,2.471,2.629,0.0,0.0,26.0,48.0,0.0,0.0,0.0,0.0,0.563,0.184,0.75,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Toronto Maple Leafs,70,41,16,0,95,67.9,3.029,1.971,0.0,0.0,49.0,21.0,0.0,0.0,0.0,0.0,0.789,0.344,0.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
