id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
36,Ottawa Senators (1917),24,14,8,0,30,62.5,4.417,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.429,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Hamilton Tigers,24,7,17,0,14,29.2,3.667,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.214,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Montréal Canadiens,24,12,11,0,25,52.1,3.667,3.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.231,0.8,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Toronto St. Patricks,24,13,10,0,27,56.3,4.083,4.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.357,0.875,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
