id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,PDO
1,New Jersey Devils,82,41,28,4,95,57.9,2.5,2.28,1.1969,16.9,44.0,43.0,261.0,83.7,29.8171,23.1707,0.714,0.275,0.75,0.774,0.452,0.632,5156.0,2553.0,2603.0,49.5,8.4,0.902,0.986
2,New York Islanders,82,42,28,4,96,58.5,2.915,2.683,1.0069,16.2,59.0,52.0,363.0,85.7,28.2805,27.8659,0.633,0.333,0.719,0.857,0.459,0.564,5579.0,2884.0,2695.0,51.7,10.3,0.904,1.0070000000000001
3,New York Rangers,82,36,38,4,80,48.8,2.768,3.146,0.9874,14.7,48.0,80.0,326.0,79.9,29.1707,31.9268,0.781,0.22,0.762,0.923,0.457,0.426,5554.0,2816.0,2738.0,50.7,9.5,0.901,0.996
4,Philadelphia Flyers,82,42,27,3,97,59.1,2.854,2.341,1.3468,13.0,39.0,40.0,300.0,86.3,29.7805,26.0854,0.617,0.371,0.7,0.744,0.509,0.538,5330.0,2661.0,2669.0,49.9,9.6,0.91,1.006
5,Pittsburgh Penguins,82,28,41,5,69,42.1,2.415,3.037,0.7738,14.0,47.0,57.0,335.0,83.8,27.0122,29.1951,0.516,0.235,0.579,0.8,0.364,0.289,5484.0,2583.0,2901.0,47.1,8.9,0.896,0.985
6,Boston Bruins,82,43,24,9,101,61.6,2.878,2.451,1.1898,13.8,39.0,45.0,283.0,87.1,31.6585,25.0854,0.708,0.265,0.806,0.769,0.55,0.526,5212.0,2499.0,2713.0,48.0,9.1,0.902,0.993
7,Buffalo Sabres,82,35,35,1,82,50.0,2.598,2.439,0.9645,13.3,50.0,41.0,375.0,86.5,27.9878,25.8537,0.636,0.184,0.657,0.829,0.372,0.5,5468.0,2591.0,2877.0,47.4,9.3,0.906,0.999
8,Montréal Canadiens,82,36,31,3,87,53.0,2.524,2.549,0.9286,14.9,45.0,38.0,301.0,86.2,25.5122,31.6707,0.622,0.216,0.704,0.765,0.667,0.365,5309.0,2803.0,2506.0,52.8,9.9,0.92,1.0190000000000001
9,Ottawa Senators,82,39,27,7,94,57.3,2.963,2.537,1.1429,16.6,55.0,48.0,331.0,84.3,30.1098,25.9268,0.622,0.297,0.815,0.909,0.444,0.5,5342.0,2677.0,2665.0,50.1,9.8,0.902,1.0
10,Toronto Maple Leafs,82,43,25,4,100,61.0,3.037,2.524,1.2826,15.5,54.0,51.0,349.0,84.4,28.5244,24.9268,0.682,0.342,0.727,0.846,0.544,0.478,5281.0,2736.0,2545.0,51.8,10.6,0.899,1.0050000000000001
11,Atlanta Thrashers,82,19,47,5,54,32.9,2.28,3.512,0.738,12.1,37.0,65.0,306.0,81.8,24.1951,35.5,0.353,0.146,0.45,0.6,0.1,0.261,5434.0,2518.0,2916.0,46.3,9.4,0.901,0.995
