id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
32,Quebec Nordiques,80,41,30,0,91,56.9,4.038,3.438,1.2108,20.9,64.0,67.0,306.0,78.2,30.45,27.625,0.625,0.4,0.808,0.943,0.756,0.36,0.0,0.0,0.0,0.0,13.3,0.876
33,Winnipeg Jets (1979),80,43,27,0,96,60.0,4.475,4.15,1.1136,24.0,75.0,70.0,313.0,77.6,31.875,31.7375,0.646,0.375,0.871,0.943,0.645,0.583,0.0,0.0,0.0,0.0,14.0,0.869
1,New Jersey Devils,80,22,48,0,54,33.8,3.3,4.325,0.7269,19.4,70.0,74.0,361.0,76.7,29.6875,29.9125,0.414,0.196,0.929,0.889,0.438,0.222,0.0,0.0,0.0,0.0,11.1,0.855
34,Hartford Whalers,80,30,41,0,69,43.1,3.35,3.975,0.8036,22.9,73.0,62.0,319.0,80.4,27.4625,30.2125,0.442,0.297,0.652,0.815,0.591,0.311,0.0,0.0,0.0,0.0,12.2,0.868
2,New York Islanders,80,40,34,0,86,53.8,4.313,3.9,1.0362,25.1,71.0,68.0,283.0,82.2,30.1875,32.4125,0.674,0.297,0.718,0.906,0.625,0.475,0.0,0.0,0.0,0.0,14.3,0.88
3,New York Rangers,80,26,44,0,62,38.8,3.688,4.313,0.7952,24.0,72.0,64.0,300.0,80.6,29.8,35.1125,0.438,0.25,0.704,0.742,0.476,0.304,0.0,0.0,0.0,0.0,12.4,0.877
4,Philadelphia Flyers,80,53,20,0,113,70.6,4.35,3.013,1.5127,22.3,68.0,66.0,305.0,79.8,33.7,29.825,0.78,0.538,0.943,0.978,0.841,0.536,0.0,0.0,0.0,0.0,12.9,0.899
5,Pittsburgh Penguins,80,24,51,0,53,33.1,3.45,4.813,0.7068,17.3,62.0,73.0,359.0,76.0,28.125,37.0375,0.438,0.208,0.765,0.737,0.364,0.295,0.0,0.0,0.0,0.0,12.3,0.87
6,Boston Bruins,80,36,34,0,82,51.3,3.788,3.588,1.0363,21.8,69.0,67.0,316.0,79.8,30.0,27.2125,0.6,0.3,0.758,0.879,0.643,0.296,0.0,0.0,0.0,0.0,12.6,0.868
7,Buffalo Sabres,80,38,28,0,90,56.3,3.625,2.963,1.1667,24.1,76.0,52.0,316.0,82.4,28.8625,23.7625,0.565,0.353,0.724,0.886,0.717,0.25,0.0,0.0,0.0,0.0,12.6,0.875
8,Montréal Canadiens,80,41,27,0,94,58.8,3.863,3.275,1.1215,24.0,77.0,57.0,321.0,79.2,30.2,24.65,0.63,0.353,0.8,0.882,0.623,0.583,0.0,0.0,0.0,0.0,12.8,0.867
10,Toronto Maple Leafs,80,20,52,0,48,30.0,3.163,4.475,0.6481,19.8,69.0,83.0,349.0,73.9,29.075,32.875,0.321,0.212,0.529,0.813,0.37,0.227,0.0,0.0,0.0,0.0,10.9,0.864
15,Washington Capitals,80,46,25,0,101,63.1,4.025,3.0,1.4474,23.8,79.0,68.0,332.0,77.1,31.925,25.8,0.729,0.344,0.842,0.947,0.741,0.313,0.0,0.0,0.0,0.0,12.6,0.884
16,Chicago Blackhawks,80,38,35,0,83,51.9,3.863,3.738,1.0583,21.8,62.0,76.0,285.0,77.2,29.9625,33.1375,0.65,0.3,0.815,0.931,0.593,0.467,0.0,0.0,0.0,0.0,12.9,0.887
17,Detroit Red Wings,80,27,41,0,66,41.3,3.913,4.463,0.9156,22.1,72.0,89.0,326.0,73.3,28.425,31.5,0.429,0.237,0.706,0.762,0.609,0.268,0.0,0.0,0.0,0.0,13.8,0.858
19,St. Louis Blues,80,37,31,0,86,53.8,3.738,3.6,1.1099,21.9,66.0,73.0,301.0,76.1,31.075,29.8125,0.605,0.297,0.909,0.906,0.571,0.5,0.0,0.0,0.0,0.0,12.0,0.879
20,Calgary Flames,80,41,27,0,94,58.8,4.538,3.775,1.3846,24.8,79.0,81.0,319.0,74.2,34.9375,31.2,0.743,0.333,0.852,0.938,0.659,0.5,0.0,0.0,0.0,0.0,13.0,0.879
22,Edmonton Oilers,80,49,20,0,109,68.1,5.013,3.725,1.3827,25.7,74.0,76.0,288.0,78.3,32.4375,32.85,0.708,0.469,0.938,0.973,0.788,0.618,0.0,0.0,0.0,0.0,15.5,0.887
23,Vancouver Canucks,80,25,46,0,59,36.9,3.55,5.013,0.6942,19.5,61.0,89.0,313.0,70.5,31.1625,33.2625,0.405,0.211,0.667,0.833,0.423,0.341,0.0,0.0,0.0,0.0,11.4,0.849
26,Los Angeles Kings,80,34,32,0,82,51.3,4.238,4.075,0.978,23.5,87.0,54.0,370.0,81.9,31.8875,30.3375,0.571,0.263,0.75,0.818,0.526,0.48,0.0,0.0,0.0,0.0,13.3,0.866
31,Minnesota North Stars,80,25,43,0,62,38.8,3.35,4.013,0.8687,21.3,71.0,88.0,333.0,75.8,31.15,32.1125,0.5,0.188,0.722,0.933,0.5,0.275,0.0,0.0,0.0,0.0,10.8,0.875
