id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,PDO
20,Calgary Flames,82,46,30,6,98,59.8,3.061,3.0,1.0438,17.0,61.0,58.0,358.0,83.4,32.2317,29.7683,0.703,0.444,0.739,0.875,0.6,0.452,4787.0,2454.0,2333.0,51.3,9.5,0.899,0.994
21,Colorado Avalanche,82,32,45,5,69,42.1,2.317,3.085,0.7515,15.7,50.0,64.0,318.0,79.9,28.7683,28.9756,0.581,0.275,0.652,0.909,0.394,0.404,4600.0,2199.0,2401.0,47.8,8.1,0.894,0.975
22,Edmonton Oilers,82,38,35,9,85,51.8,2.78,2.976,1.0133,16.9,60.0,76.0,354.0,77.5,28.0854,32.5366,0.718,0.233,0.808,0.893,0.4,0.482,4764.0,2281.0,2483.0,47.9,9.9,0.909,1.008
23,Vancouver Canucks,82,45,27,10,100,61.0,2.963,2.598,1.2143,18.8,67.0,69.0,357.0,81.4,28.4756,29.1707,0.702,0.343,0.735,0.909,0.568,0.513,4726.0,2451.0,2275.0,51.9,10.4,0.911,1.0150000000000001
24,Anaheim Ducks,82,42,33,7,91,55.5,2.902,2.866,1.0949,23.6,73.0,78.0,309.0,79.7,30.2561,30.4756,0.791,0.205,0.76,0.963,0.425,0.625,4616.0,2299.0,2317.0,49.8,9.6,0.906,1.002
25,Dallas Stars,82,36,35,11,83,50.6,2.732,3.061,0.9448,15.4,54.0,70.0,351.0,78.6,28.9024,28.0976,0.605,0.295,0.826,0.867,0.439,0.436,4433.0,2120.0,2313.0,47.8,9.5,0.891,0.986
26,Los Angeles Kings,82,34,37,11,79,48.2,2.463,2.756,0.8201,19.2,69.0,62.0,360.0,82.9,29.061,28.061,0.667,0.186,0.818,0.8,0.455,0.333,4559.0,2370.0,2189.0,52.0,8.5,0.902,0.987
27,Phoenix Coyotes,82,36,39,7,79,48.2,2.5,3.037,0.8405,14.5,50.0,68.0,344.0,76.8,28.0732,31.5976,0.583,0.326,0.762,0.931,0.591,0.37,4658.0,2088.0,2570.0,44.8,8.9,0.904,0.993
28,San Jose Sharks,82,53,18,11,117,71.3,3.061,2.427,1.088,24.2,87.0,51.0,360.0,83.3,33.1707,27.1707,0.783,0.472,0.828,0.868,0.642,0.72,4596.0,2472.0,2124.0,53.8,9.2,0.911,1.0030000000000001
29,Columbus Blue Jackets,82,41,31,10,92,56.1,2.683,2.72,1.1567,12.7,41.0,62.0,322.0,82.1,28.9024,27.8171,0.683,0.317,0.714,0.875,0.442,0.568,4681.0,2397.0,2284.0,51.2,9.3,0.902,0.995
30,Minnesota Wild,82,40,33,9,89,54.3,2.61,2.402,0.9058,20.1,66.0,36.0,328.0,87.6,27.5244,30.7073,0.692,0.302,0.778,0.933,0.576,0.409,4583.0,2223.0,2360.0,48.5,9.5,0.922,1.0170000000000001
