id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
32,Quebec Nordiques,80,33,31,0,82,51.3,4.45,4.313,0.9876,26.8,84.0,72.0,314.0,78.2,28.8125,29.6,0.5,0.316,0.769,0.962,0.731,0.371,0.0,0.0,0.0,0.0,15.4,0.854
33,Winnipeg Jets (1979),80,33,33,0,80,50.0,3.988,4.15,0.9143,22.6,74.0,61.0,328.0,75.5,32.925,32.45,0.553,0.286,0.905,0.952,0.553,0.444,0.0,0.0,0.0,0.0,12.1,0.872
34,Hartford Whalers,80,21,41,0,60,37.5,3.3,4.388,0.7303,23.1,68.0,78.0,295.0,72.1,31.1,34.0625,0.4,0.156,0.688,0.933,0.435,0.286,0.0,0.0,0.0,0.0,10.6,0.871
2,New York Islanders,80,54,16,0,118,73.8,4.813,3.125,1.5509,27.8,80.0,66.0,288.0,79.9,30.8625,30.075,0.74,0.567,0.879,0.933,0.889,0.667,0.0,0.0,0.0,0.0,15.6,0.896
35,Colorado Rockies,80,18,49,0,49,30.6,3.013,4.525,0.6394,15.3,46.0,63.0,300.0,76.9,26.3375,33.8375,0.343,0.133,0.556,0.733,0.818,0.17,0.0,0.0,0.0,0.0,11.4,0.866
3,New York Rangers,80,39,27,0,92,57.5,3.95,3.825,1.0788,22.2,68.0,75.0,306.0,76.3,28.5625,29.45,0.69,0.263,0.917,0.967,0.704,0.5,0.0,0.0,0.0,0.0,13.8,0.87
4,Philadelphia Flyers,80,38,31,0,87,54.4,4.063,3.913,1.1514,26.5,78.0,102.0,294.0,73.3,34.0125,29.9875,0.73,0.256,0.87,0.935,0.575,0.52,0.0,0.0,0.0,0.0,11.9,0.87
5,Pittsburgh Penguins,80,31,36,0,75,46.9,3.875,4.213,0.9,24.8,99.0,92.0,400.0,76.9,31.875,31.2125,0.591,0.139,0.852,0.92,0.545,0.387,0.0,0.0,0.0,0.0,12.2,0.865
6,Boston Bruins,80,43,27,0,96,60.0,4.038,3.563,1.0849,22.3,65.0,54.0,291.0,81.6,30.2125,25.7,0.628,0.432,0.897,0.921,0.696,0.368,0.0,0.0,0.0,0.0,13.4,0.861
7,Buffalo Sabres,80,39,26,0,93,58.1,3.838,3.413,1.1693,21.6,63.0,57.0,291.0,79.3,29.275,29.0,0.676,0.326,0.9,0.938,0.758,0.452,0.0,0.0,0.0,0.0,13.1,0.882
8,Montréal Canadiens,80,46,17,0,109,68.1,4.5,2.788,1.74,24.2,72.0,57.0,297.0,80.1,33.775,27.475,0.745,0.276,0.971,0.955,0.765,0.583,0.0,0.0,0.0,0.0,13.3,0.899
10,Toronto Maple Leafs,80,20,44,0,56,35.0,3.725,4.75,0.8214,20.3,59.0,98.0,291.0,73.0,29.1,34.7125,0.4,0.16,0.647,0.889,0.579,0.19,0.0,0.0,0.0,0.0,12.8,0.863
15,Washington Capitals,80,26,41,0,65,40.6,3.988,4.225,0.7833,22.5,93.0,66.0,414.0,78.6,31.475,33.2875,0.442,0.189,0.75,0.88,0.542,0.3,0.0,0.0,0.0,0.0,12.7,0.873
16,Chicago Blackhawks,80,30,38,0,72,45.0,4.15,4.538,0.9825,25.5,79.0,94.0,310.0,75.4,32.075,33.225,0.526,0.238,0.708,0.885,0.625,0.333,0.0,0.0,0.0,0.0,12.9,0.863
17,Detroit Red Wings,80,21,47,0,54,33.8,3.375,4.388,0.8071,16.5,42.0,75.0,255.0,73.5,33.375,28.1625,0.432,0.116,0.688,0.682,0.386,0.105,0.0,0.0,0.0,0.0,10.1,0.844
19,St. Louis Blues,80,32,40,0,72,45.0,3.938,4.363,0.9469,22.5,77.0,84.0,342.0,76.2,30.7875,32.225,0.583,0.25,0.889,0.964,0.576,0.303,0.0,0.0,0.0,0.0,12.8,0.865
20,Calgary Flames,80,29,34,0,75,46.9,4.175,4.313,0.9431,26.6,78.0,72.0,293.0,77.8,29.425,33.4,0.511,0.171,0.8,0.909,0.583,0.368,0.0,0.0,0.0,0.0,14.2,0.871
22,Edmonton Oilers,80,48,17,0,111,69.4,5.213,3.688,1.4673,25.6,87.0,68.0,340.0,81.7,33.625,31.725,0.762,0.421,0.944,0.927,0.875,0.556,0.0,0.0,0.0,0.0,15.5,0.884
23,Vancouver Canucks,80,30,33,0,77,48.1,3.625,3.575,1.0761,19.0,64.0,68.0,337.0,78.5,30.725,30.275,0.564,0.195,0.815,0.931,0.576,0.345,0.0,0.0,0.0,0.0,11.8,0.882
26,Los Angeles Kings,80,24,41,0,63,39.4,3.925,4.613,0.8583,21.2,75.0,89.0,353.0,71.8,32.0125,30.5875,0.448,0.216,0.591,0.773,0.469,0.29,0.0,0.0,0.0,0.0,12.3,0.849
31,Minnesota North Stars,80,37,23,0,94,58.8,4.325,3.6,1.0558,24.5,89.0,49.0,363.0,81.8,33.0125,32.9125,0.553,0.333,0.833,0.968,0.667,0.5,0.0,0.0,0.0,0.0,13.1,0.891
