id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,PDO
1,New Jersey Devils,82,35,29,18,88,53.7,2.402,2.378,0.9275,19.5,47.0,36.0,241.0,86.4,26.8171,25.4756,0.682,0.132,0.667,0.759,0.467,0.364,4624.0,2174.0,2450.0,47.0,9.0,0.907,0.997
2,New York Islanders,82,34,37,11,79,48.2,2.634,3.183,0.8343,17.8,49.0,58.0,276.0,78.1,30.939,30.0488,0.5,0.354,0.556,0.556,0.375,0.432,4896.0,2310.0,2586.0,47.2,8.5,0.894,0.979
3,New York Rangers,82,45,31,6,96,58.5,2.61,2.317,1.0677,18.2,48.0,34.0,264.0,85.3,33.1585,29.4146,0.816,0.318,0.769,0.903,0.537,0.591,4909.0,2397.0,2512.0,48.8,7.9,0.921,1.0
4,Philadelphia Flyers,82,42,30,10,94,57.3,2.841,2.768,0.9618,19.7,58.0,48.0,294.0,84.8,30.3659,30.5854,0.744,0.302,0.75,0.829,0.564,0.476,5011.0,2504.0,2507.0,50.0,9.4,0.909,1.0030000000000001
5,Pittsburgh Penguins,82,51,24,7,109,66.5,2.951,2.488,1.0467,23.4,65.0,38.0,278.0,85.0,29.9268,28.7683,0.841,0.368,0.893,0.861,0.614,0.629,4796.0,2445.0,2351.0,51.0,9.9,0.914,1.0130000000000001
6,Boston Bruins,82,54,19,9,117,71.3,3.146,2.085,1.5299,21.7,50.0,43.0,230.0,83.7,31.8659,29.0854,0.837,0.394,0.793,0.911,0.609,0.733,4995.0,2577.0,2418.0,51.6,9.9,0.928,1.0270000000000001
7,Buffalo Sabres,82,21,51,10,52,31.7,1.829,2.963,0.5893,14.1,36.0,51.0,256.0,81.4,26.2927,34.3415,0.29,0.235,0.333,0.667,0.214,0.231,4926.0,2305.0,2621.0,46.8,7.0,0.914,0.984
8,Montréal Canadiens,82,46,28,8,100,61.0,2.549,2.451,0.9855,17.2,48.0,43.0,279.0,85.1,28.4146,30.9878,0.822,0.243,0.821,0.921,0.607,0.52,5108.0,2532.0,2576.0,49.6,9.0,0.921,1.0110000000000001
9,Ottawa Senators,82,37,31,14,88,53.7,2.793,3.146,0.9474,18.4,50.0,61.0,271.0,80.9,32.8293,34.7439,0.65,0.262,0.607,0.774,0.387,0.5,5189.0,2659.0,2530.0,51.2,8.5,0.909,0.994
10,Toronto Maple Leafs,82,38,36,8,84,51.2,2.707,3.073,0.9217,19.8,50.0,58.0,252.0,78.4,27.9268,35.9146,0.675,0.262,0.737,0.897,0.533,0.462,5334.0,2574.0,2760.0,48.3,9.7,0.914,1.0110000000000001
