id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,48,14,25,0,37,38.5,2.021,2.896,0.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.75,0.063,0.818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0
17,Detroit Red Wings,48,12,25,0,35,36.5,2.063,2.771,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.455,0.077,0.875,0.7,0.0,0.0,0.0,0.0,0.0,0.0,31.6,0.0
3,New York Rangers,48,27,15,0,60,62.5,3.104,2.0,0.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.727,0.2,0.895,0.889,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0
6,Boston Bruins,48,30,11,0,67,69.8,2.958,1.854,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.759,0.421,0.917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0
8,Montréal Canadiens,48,18,17,0,49,51.0,2.563,2.667,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,0.619,0.185,0.846,0.923,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0
10,Toronto Maple Leafs,48,24,15,0,57,59.4,3.146,2.646,0.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.615,0.364,0.909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
43,Montreal Maroons,48,12,30,0,30,31.3,2.104,3.104,0.0,0.0,16.0,26.0,0.0,0.0,0.0,0.0,0.421,0.138,0.75,0.889,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
44,New York Americans,48,19,18,0,49,51.0,2.292,2.313,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.538,0.227,0.818,0.923,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0
