id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,48,21,19,0,50,52.1,1.938,1.917,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,0.625,0.25,0.727,0.882,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0
17,Detroit Red Wings,48,24,16,0,56,58.3,2.583,2.146,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,0.714,0.2,0.944,0.955,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0
3,New York Rangers,48,19,17,0,50,52.1,1.896,2.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.706,0.226,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
6,Boston Bruins,48,22,20,0,50,52.1,1.917,1.729,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.714,0.1,0.917,0.938,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0
8,Montréal Canadiens,48,11,26,0,33,34.4,1.708,2.563,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.375,0.083,0.375,0.8,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0
10,Toronto Maple Leafs,48,23,19,0,52,54.2,2.625,2.208,0.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,0.773,0.231,0.933,0.889,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0
43,Montreal Maroons,48,22,16,0,54,56.3,2.375,2.208,0.0,0.0,18.0,23.0,0.0,0.0,0.0,0.0,0.625,0.292,0.813,0.933,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0
44,New York Americans,48,16,25,0,39,40.6,2.271,2.542,0.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.632,0.138,0.778,0.846,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0
