id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
32,Quebec Nordiques,84,47,27,0,104,61.9,4.179,3.571,0.8302,21.8,101.0,85.0,464.0,80.5,29.9881,30.3214,0.791,0.317,0.793,0.947,0.694,0.455,0.0,0.0,0.0,0.0,13.9,0.882
33,Winnipeg Jets (1979),84,40,37,0,87,51.8,3.833,3.81,0.7738,20.9,98.0,80.0,468.0,81.6,30.6786,32.7262,0.541,0.426,0.64,0.818,0.636,0.388,0.0,0.0,0.0,0.0,12.5,0.884
1,New Jersey Devils,84,40,37,0,87,51.8,3.667,3.56,1.2314,19.2,77.0,79.0,400.0,81.4,33.0238,29.8095,0.641,0.333,0.769,0.838,0.51,0.452,0.0,0.0,0.0,0.0,11.1,0.881
34,Hartford Whalers,84,26,52,0,58,34.5,3.381,4.393,1.0889,17.6,78.0,107.0,444.0,78.3,26.0952,34.1071,0.5,0.192,0.542,0.731,0.417,0.29,0.0,0.0,0.0,0.0,13.0,0.871
2,New York Islanders,84,40,37,0,87,51.8,3.988,3.536,1.1786,21.6,90.0,77.0,416.0,79.4,31.0238,29.4167,0.596,0.324,0.684,0.8,0.457,0.528,0.0,0.0,0.0,0.0,12.9,0.88
3,New York Rangers,84,34,39,0,79,47.0,3.619,3.667,0.7616,18.3,77.0,84.0,420.0,81.1,33.2619,33.6786,0.625,0.205,0.64,0.774,0.452,0.366,0.0,0.0,0.0,0.0,10.9,0.891
4,Philadelphia Flyers,84,36,37,0,83,49.4,3.798,3.798,0.7468,18.1,72.0,95.0,399.0,77.4,29.7619,31.7976,0.585,0.279,0.846,0.857,0.485,0.383,0.0,0.0,0.0,0.0,12.8,0.881
5,Pittsburgh Penguins,84,56,21,0,119,70.8,4.369,3.19,0.9286,23.9,105.0,72.0,440.0,83.2,32.4405,30.7262,0.698,0.571,0.809,0.909,0.667,0.647,0.0,0.0,0.0,0.0,13.5,0.896
6,Boston Bruins,84,51,26,0,109,64.9,3.952,3.19,0.9206,20.9,91.0,70.0,435.0,83.0,34.4405,26.1071,0.82,0.294,0.85,0.863,0.652,0.429,0.0,0.0,0.0,0.0,11.5,0.878
7,Buffalo Sabres,84,38,36,0,86,51.2,3.988,3.536,0.738,20.3,95.0,72.0,467.0,83.5,31.7976,31.881,0.628,0.268,0.677,0.824,0.528,0.357,0.0,0.0,0.0,0.0,12.5,0.889
8,Montréal Canadiens,84,48,30,0,102,60.7,3.881,3.333,1.0547,18.4,79.0,77.0,430.0,81.9,31.7738,30.0119,0.714,0.429,0.774,0.971,0.745,0.371,0.0,0.0,0.0,0.0,12.2,0.889
9,Ottawa Senators,84,10,70,0,24,14.3,2.405,4.702,1.0,14.7,66.0,115.0,448.0,75.0,27.1548,31.8333,0.185,0.088,0.231,0.667,0.12,0.113,0.0,0.0,0.0,0.0,8.9,0.852
10,Toronto Maple Leafs,84,44,29,0,99,58.9,3.429,2.869,1.1429,21.0,98.0,69.0,466.0,82.4,30.369,29.0476,0.694,0.286,0.684,0.878,0.522,0.5,0.0,0.0,0.0,0.0,11.3,0.901
14,Tampa Bay Lightning,84,23,54,0,53,31.5,2.917,3.952,0.9874,17.4,74.0,101.0,424.0,74.4,30.2262,30.4048,0.455,0.157,0.545,0.667,0.231,0.317,0.0,0.0,0.0,0.0,9.6,0.87
15,Washington Capitals,84,43,34,0,93,55.4,3.869,3.405,1.1203,21.8,97.0,74.0,445.0,82.9,32.2024,28.4048,0.683,0.349,0.688,0.868,0.508,0.45,0.0,0.0,0.0,0.0,12.0,0.88
16,Chicago Blackhawks,84,47,25,0,106,63.1,3.321,2.738,0.9645,18.4,94.0,81.0,510.0,83.4,32.2262,27.3214,0.686,0.364,0.742,0.905,0.542,0.545,0.0,0.0,0.0,0.0,10.3,0.9
17,Detroit Red Wings,84,47,28,0,103,61.3,4.393,3.333,0.9197,24.9,113.0,79.0,454.0,81.1,32.9167,28.869,0.756,0.333,0.805,0.949,0.667,0.394,0.0,0.0,0.0,0.0,13.3,0.885
19,St. Louis Blues,84,37,36,0,85,50.6,3.357,3.31,1.0069,21.9,93.0,70.0,425.0,83.6,29.0357,33.8095,0.651,0.22,0.667,0.844,0.652,0.356,0.0,0.0,0.0,0.0,11.6,0.902
20,Calgary Flames,84,43,30,0,97,57.7,3.833,3.357,1.1898,19.0,85.0,83.0,447.0,83.1,31.3929,29.4762,0.64,0.324,0.6,0.848,0.585,0.436,0.0,0.0,0.0,0.0,12.2,0.886
22,Edmonton Oilers,84,26,50,0,60,35.7,2.881,4.012,0.9645,15.9,66.0,106.0,416.0,77.1,27.9405,33.7619,0.441,0.22,0.478,0.593,0.4,0.236,0.0,0.0,0.0,0.0,10.3,0.881
23,Vancouver Canucks,84,46,29,0,101,60.1,4.119,3.31,1.3468,17.3,79.0,97.0,457.0,78.5,31.6905,29.4405,0.744,0.341,0.938,0.884,0.608,0.452,0.0,0.0,0.0,0.0,13.0,0.888
26,Los Angeles Kings,84,39,35,0,88,52.4,4.024,4.048,1.1852,20.1,102.0,114.0,507.0,78.4,33.9881,34.381,0.689,0.205,0.8,0.806,0.432,0.477,0.0,0.0,0.0,0.0,11.8,0.882
28,San Jose Sharks,84,11,71,0,24,14.3,2.595,4.929,1.1969,16.1,66.0,113.0,409.0,76.6,28.381,36.6667,0.25,0.071,0.5,0.583,0.25,0.094,0.0,0.0,0.0,0.0,9.1,0.866
31,Minnesota North Stars,84,36,38,0,82,48.8,3.238,3.488,0.578,19.1,85.0,81.0,445.0,82.2,31.8214,29.631,0.659,0.209,0.767,0.853,0.435,0.441,0.0,0.0,0.0,0.0,10.2,0.882
