id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
32,Quebec Nordiques,80,43,31,0,92,57.5,4.125,3.613,1.133,23.6,99.0,71.0,419.0,81.3,32.35,29.9375,0.643,0.421,0.735,0.821,0.622,0.56,0.0,0.0,0.0,0.0,12.8,0.879
33,Winnipeg Jets (1979),80,26,47,0,59,36.9,3.688,4.65,0.7586,20.2,72.0,84.0,356.0,74.9,31.8375,29.925,0.364,0.298,0.567,0.81,0.447,0.235,0.0,0.0,0.0,0.0,11.6,0.845
1,New Jersey Devils,80,28,49,0,59,36.9,3.75,4.675,0.848,19.6,70.0,103.0,358.0,74.2,29.175,31.1625,0.444,0.273,0.571,0.652,0.371,0.375,0.0,0.0,0.0,0.0,12.9,0.85
34,Hartford Whalers,80,40,36,0,84,52.5,4.15,3.775,1.087,22.1,83.0,72.0,376.0,80.4,29.5875,28.7,0.659,0.333,0.833,0.935,0.605,0.485,0.0,0.0,0.0,0.0,14.0,0.868
2,New York Islanders,80,39,29,0,90,56.3,4.088,3.55,1.2513,22.7,73.0,77.0,321.0,78.4,29.4,33.2375,0.595,0.368,0.767,0.861,0.714,0.488,0.0,0.0,0.0,0.0,13.9,0.893
3,New York Rangers,80,36,38,0,78,48.8,3.5,3.45,1.0275,20.1,73.0,81.0,363.0,77.8,31.825,29.975,0.579,0.333,0.759,0.811,0.535,0.433,0.0,0.0,0.0,0.0,11.0,0.885
4,Philadelphia Flyers,80,53,23,0,110,68.8,4.188,3.013,1.415,23.6,91.0,71.0,385.0,82.8,34.125,28.8875,0.731,0.536,0.865,0.951,0.72,0.68,0.0,0.0,0.0,0.0,12.3,0.896
5,Pittsburgh Penguins,80,34,38,0,76,47.5,3.913,3.813,1.0469,22.5,93.0,78.0,413.0,77.0,30.225,31.1125,0.59,0.268,0.76,0.926,0.563,0.395,0.0,0.0,0.0,0.0,12.9,0.877
6,Boston Bruins,80,37,31,0,86,53.8,3.888,3.6,1.1117,22.6,95.0,97.0,420.0,76.0,30.7625,27.2875,0.581,0.324,0.893,0.909,0.571,0.455,0.0,0.0,0.0,0.0,12.6,0.868
7,Buffalo Sabres,80,37,37,0,80,50.0,3.7,3.638,1.0102,21.6,72.0,66.0,333.0,80.5,29.975,29.8875,0.571,0.29,0.667,0.862,0.583,0.405,0.0,0.0,0.0,0.0,12.3,0.878
8,Montréal Canadiens,80,40,33,0,87,54.4,4.125,3.5,1.1045,25.2,87.0,64.0,345.0,79.3,29.425,27.1125,0.675,0.325,0.788,0.939,0.652,0.36,0.0,0.0,0.0,0.0,14.0,0.871
10,Toronto Maple Leafs,80,25,48,0,57,35.6,3.888,4.825,0.8214,18.3,67.0,83.0,366.0,77.3,31.325,34.6625,0.324,0.302,0.5,0.864,0.462,0.295,0.0,0.0,0.0,0.0,12.4,0.861
15,Washington Capitals,80,50,23,0,107,66.9,3.938,3.4,1.0957,22.8,82.0,67.0,359.0,81.0,30.3,27.7,0.786,0.447,0.879,0.95,0.682,0.692,0.0,0.0,0.0,0.0,13.0,0.877
16,Chicago Blackhawks,80,39,33,0,86,53.8,4.388,4.363,0.9619,25.9,85.0,85.0,328.0,77.9,32.4375,34.8875,0.641,0.341,0.818,0.96,0.36,0.622,0.0,0.0,0.0,0.0,13.5,0.875
17,Detroit Red Wings,80,17,57,0,40,25.0,3.325,5.188,0.588,20.9,79.0,111.0,378.0,71.0,28.5,32.85,0.313,0.146,0.478,0.714,0.273,0.191,0.0,0.0,0.0,0.0,11.7,0.842
19,St. Louis Blues,80,37,34,0,83,51.9,3.775,3.638,1.0213,21.6,78.0,74.0,362.0,77.2,31.4375,32.25,0.595,0.349,0.81,0.852,0.5,0.525,0.0,0.0,0.0,0.0,12.0,0.887
20,Calgary Flames,80,40,31,0,89,55.6,4.425,3.938,1.2381,24.3,92.0,101.0,378.0,76.2,34.5625,31.425,0.762,0.211,0.885,0.912,0.614,0.5,0.0,0.0,0.0,0.0,12.8,0.875
22,Edmonton Oilers,80,56,17,0,119,74.4,5.325,3.875,1.4854,26.3,78.0,77.0,297.0,81.1,33.0625,34.725,0.804,0.559,0.93,0.917,0.8,0.718,0.0,0.0,0.0,0.0,16.1,0.888
23,Vancouver Canucks,80,23,44,0,59,36.9,3.525,4.163,0.7198,21.2,89.0,71.0,419.0,78.6,29.525,30.1875,0.378,0.209,0.652,0.808,0.469,0.25,0.0,0.0,0.0,0.0,11.9,0.862
26,Los Angeles Kings,80,23,49,0,54,33.8,3.55,4.863,0.7673,17.5,69.0,103.0,394.0,71.9,30.3,32.625,0.467,0.18,0.667,0.875,0.4,0.262,0.0,0.0,0.0,0.0,11.7,0.851
31,Minnesota North Stars,80,38,33,0,85,53.1,4.088,3.813,1.0859,24.4,89.0,80.0,365.0,79.3,32.0125,33.6125,0.628,0.297,0.815,0.939,0.615,0.452,0.0,0.0,0.0,0.0,12.8,0.887
