id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,70,24,39,0,55,39.3,2.329,2.886,0.0,0.0,31.0,41.0,0.0,0.0,27.1714,30.3143,0.543,0.143,0.708,0.87,0.5,0.297,0.0,0.0,0.0,0.0,8.6,0.905
17,Detroit Red Wings,70,29,29,0,70,50.0,2.514,2.957,0.0,0.0,34.0,50.0,0.0,0.0,30.5857,31.0286,0.656,0.211,0.889,0.913,0.621,0.357,0.0,0.0,0.0,0.0,8.2,0.905
3,New York Rangers,70,32,25,0,77,55.0,2.786,2.686,0.0,0.0,49.0,34.0,0.0,0.0,28.3429,32.7,0.568,0.333,0.824,0.895,0.706,0.459,0.0,0.0,0.0,0.0,9.8,0.918
6,Boston Bruins,70,27,28,0,69,49.3,2.843,2.771,0.0,0.0,31.0,41.0,0.0,0.0,31.3286,30.6286,0.629,0.143,0.947,1.0,0.586,0.409,0.0,0.0,0.0,0.0,9.1,0.91
8,Montréal Canadiens,70,43,17,0,96,68.6,3.571,2.257,0.0,0.0,61.0,38.0,0.0,0.0,34.6,27.5714,0.795,0.308,0.935,0.973,0.778,0.583,0.0,0.0,0.0,0.0,10.3,0.918
10,Toronto Maple Leafs,70,21,38,0,53,37.9,2.743,3.229,0.0,0.0,40.0,42.0,0.0,0.0,30.3857,30.1714,0.52,0.178,0.824,0.944,0.542,0.235,0.0,0.0,0.0,0.0,9.0,0.893
