id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
32,Quebec Nordiques,80,20,48,0,52,32.5,3.188,3.975,0.9286,17.1,66.0,87.0,385.0,79.3,27.275,31.7625,0.424,0.128,0.6,0.704,0.286,0.236,0.0,0.0,0.0,0.0,11.7,0.875
33,Winnipeg Jets (1979),80,33,32,0,81,50.6,3.138,3.05,1.3468,20.9,91.0,68.0,435.0,84.1,29.125,31.2375,0.553,0.212,0.607,0.774,0.258,0.532,0.0,0.0,0.0,0.0,10.8,0.902
1,New Jersey Devils,80,38,31,0,87,54.4,3.613,3.238,1.2314,17.5,59.0,68.0,338.0,81.8,31.1875,28.625,0.711,0.262,0.793,0.805,0.49,0.414,0.0,0.0,0.0,0.0,11.6,0.887
34,Hartford Whalers,80,26,41,0,65,40.6,3.088,3.538,1.0889,17.6,73.0,86.0,414.0,78.2,28.375,29.9125,0.529,0.174,0.478,0.667,0.364,0.273,0.0,0.0,0.0,0.0,10.9,0.882
2,New York Islanders,80,34,35,0,79,49.4,3.638,3.738,1.1786,22.1,75.0,90.0,339.0,76.5,27.825,32.875,0.647,0.261,0.724,0.758,0.409,0.436,0.0,0.0,0.0,0.0,13.1,0.886
3,New York Rangers,80,50,25,0,105,65.6,4.013,3.075,0.7616,20.9,81.0,60.0,387.0,84.8,32.9125,31.7875,0.66,0.576,0.73,0.833,0.644,0.606,0.0,0.0,0.0,0.0,12.2,0.903
4,Philadelphia Flyers,80,32,37,0,75,46.9,3.15,3.413,1.0,16.6,68.0,76.0,411.0,80.6,29.05,28.6875,0.525,0.275,0.71,0.828,0.487,0.297,0.0,0.0,0.0,0.0,10.8,0.881
5,Pittsburgh Penguins,80,39,32,0,87,54.4,4.288,3.85,0.7468,21.8,92.0,77.0,423.0,79.9,31.775,31.475,0.625,0.281,0.765,0.844,0.525,0.485,0.0,0.0,0.0,0.0,13.5,0.878
6,Boston Bruins,80,36,32,0,84,52.5,3.375,3.438,0.9206,19.0,77.0,72.0,406.0,80.1,33.3,29.2375,0.683,0.205,0.724,0.789,0.434,0.462,0.0,0.0,0.0,0.0,10.1,0.882
7,Buffalo Sabres,80,31,37,0,74,46.3,3.613,3.738,0.738,22.5,105.0,91.0,466.0,78.5,32.5,32.25,0.487,0.293,0.68,0.84,0.447,0.325,0.0,0.0,0.0,0.0,11.1,0.884
8,Montréal Canadiens,80,41,28,0,93,58.1,3.338,2.588,1.0547,19.5,74.0,60.0,379.0,81.2,30.5375,27.8375,0.618,0.28,0.722,0.778,0.563,0.448,0.0,0.0,0.0,0.0,10.9,0.907
10,Toronto Maple Leafs,80,30,43,0,67,41.9,2.925,3.675,1.0069,17.5,66.0,69.0,377.0,80.9,30.3125,31.125,0.561,0.179,0.792,0.87,0.514,0.275,0.0,0.0,0.0,0.0,9.6,0.882
15,Washington Capitals,80,45,27,0,98,61.3,4.125,3.438,1.1429,22.3,92.0,60.0,412.0,83.7,31.0125,28.3875,0.659,0.462,0.793,0.829,0.7,0.269,0.0,0.0,0.0,0.0,13.3,0.879
16,Chicago Blackhawks,80,36,29,0,87,54.4,3.213,2.95,0.9645,17.3,81.0,76.0,467.0,84.2,33.075,25.35,0.56,0.267,0.697,0.778,0.5,0.25,0.0,0.0,0.0,0.0,9.7,0.884
17,Detroit Red Wings,80,43,25,0,98,61.3,4.0,3.2,0.9197,18.6,72.0,78.0,386.0,81.3,30.975,27.975,0.674,0.353,0.73,0.946,0.596,0.452,0.0,0.0,0.0,0.0,12.9,0.886
19,St. Louis Blues,80,36,33,0,83,51.9,3.488,3.325,1.1969,19.2,69.0,64.0,359.0,83.5,29.7,33.8375,0.677,0.306,0.773,0.886,0.577,0.373,0.0,0.0,0.0,0.0,11.7,0.902
20,Calgary Flames,80,31,37,0,74,46.3,3.7,3.813,1.1898,21.0,87.0,107.0,414.0,78.1,30.9,30.875,0.576,0.255,0.667,0.778,0.342,0.41,0.0,0.0,0.0,0.0,12.0,0.877
22,Edmonton Oilers,80,36,34,0,82,51.3,3.688,3.713,0.9645,18.6,68.0,93.0,366.0,78.0,27.7125,31.0625,0.643,0.237,0.719,0.75,0.56,0.392,0.0,0.0,0.0,0.0,13.3,0.88
23,Vancouver Canucks,80,42,26,0,96,60.0,3.563,3.125,0.9874,19.4,85.0,76.0,439.0,80.1,33.3625,28.7375,0.75,0.341,0.667,0.813,0.556,0.417,0.0,0.0,0.0,0.0,10.7,0.891
26,Los Angeles Kings,80,35,31,0,84,52.5,3.588,3.7,1.1852,19.2,79.0,76.0,411.0,81.7,30.2375,33.2875,0.514,0.372,0.553,0.757,0.5,0.413,0.0,0.0,0.0,0.0,11.9,0.889
28,San Jose Sharks,80,17,58,0,39,24.4,2.738,4.488,0.8302,17.1,64.0,89.0,374.0,78.1,29.25,36.25,0.379,0.118,0.389,0.625,0.368,0.164,0.0,0.0,0.0,0.0,9.4,0.876
31,Minnesota North Stars,80,32,42,0,70,43.8,3.075,3.475,0.578,17.0,76.0,77.0,446.0,81.5,30.725,28.55,0.579,0.238,0.826,0.794,0.415,0.378,0.0,0.0,0.0,0.0,10.0,0.878
