29,2,0,29,5,35,37,10,80,48.8,3.183,3.573,0.9316,23.2,58.0,63.0,250.0,73.2,31.3659,35.5854,0.605,0.273,0.708,0.862,0.345,0.481,4919.0,2404.0,2515.0,48.9,10.1,0.9,45,30,7,97,59.1,2.878,2.756,1.1342,17.2,39.0,51.0,227.0,76.2,33.6707,31.3049,0.652,0.417,0.759,0.833,0.553,0.563,4958.0,2400.0,2558.0,48.4,8.5,0.912
14,13,3,14,5,44,30,8,96,58.5,2.988,2.963,0.994,18.9,47.0,45.0,249.0,80.2,34.4146,34.6098,0.717,0.306,0.871,0.935,0.444,0.605,5236.0,2657.0,2579.0,50.7,8.7,0.914,54,23,5,113,68.9,3.537,2.854,1.3425,23.9,66.0,64.0,276.0,76.1,32.6829,32.7195,0.837,0.462,0.821,0.923,0.683,0.625,5062.0,2441.0,2621.0,48.2,10.8,0.913
54,54,2,25,1,51,24,7,109,66.5,3.268,2.744,1.121,21.4,53.0,44.0,248.0,81.4,32.7561,30.7439,0.829,0.415,0.75,0.861,0.688,0.517,4987.0,2439.0,2548.0,48.9,10.0,0.911,42,32,8,92,56.1,2.817,2.707,1.0963,19.3,47.0,54.0,244.0,80.8,31.2195,29.8415,0.682,0.316,0.731,0.861,0.463,0.629,5144.0,2701.0,2443.0,52.5,9.0,0.909
1,21,1,1,4,43,30,9,95,57.9,3.11,2.878,1.0857,22.0,65.0,45.0,296.0,83.3,29.6585,33.3049,0.766,0.2,0.815,0.875,0.448,0.577,4828.0,2135.0,2693.0,44.2,10.5,0.914,44,29,9,97,59.1,2.963,2.927,0.9581,21.4,54.0,47.0,252.0,81.8,31.6951,31.9024,0.692,0.395,0.739,0.941,0.457,0.6,5046.0,2371.0,2675.0,47.0,9.3,0.908
10,3,5,10,8,34,39,9,77,47.0,2.78,3.207,0.8242,21.2,51.0,46.0,241.0,81.4,30.9512,35.3415,0.667,0.217,0.625,0.957,0.4,0.42,4838.0,2384.0,2454.0,49.3,9.0,0.909,49,26,7,105,64.0,3.293,2.805,1.1835,25.0,56.0,43.0,224.0,81.4,32.1951,33.8537,0.78,0.313,0.838,0.861,0.5,0.652,5187.0,2688.0,2499.0,51.8,10.2,0.917
17,17,2,9,1,30,39,13,73,44.5,2.585,3.098,0.8862,17.5,41.0,58.0,234.0,77.5,30.3659,31.8659,0.524,0.2,0.68,0.793,0.344,0.356,5009.0,2447.0,2562.0,48.9,8.5,0.903,28,43,11,67,40.9,2.671,3.463,0.7677,16.6,41.0,56.0,247.0,76.2,30.6707,33.0732,0.533,0.231,0.727,0.727,0.412,0.283,4969.0,2499.0,2470.0,50.3,8.7,0.895
13,14,4,13,5,54,23,5,113,68.9,3.537,2.854,1.3425,23.9,66.0,64.0,276.0,76.1,32.6829,32.7195,0.837,0.462,0.821,0.923,0.683,0.625,5062.0,2441.0,2621.0,48.2,10.8,0.913,44,30,8,96,58.5,2.988,2.963,0.994,18.9,47.0,45.0,249.0,80.2,34.4146,34.6098,0.717,0.306,0.871,0.935,0.444,0.605,5236.0,2657.0,2579.0,50.7,8.7,0.914
2,7,3,2,6,25,45,12,62,37.8,2.415,3.39,0.6761,19.1,49.0,52.0,257.0,77.9,31.1829,32.6951,0.541,0.111,0.55,0.727,0.278,0.316,4927.0,2539.0,2388.0,51.5,7.7,0.896,35,37,10,80,48.8,3.183,3.573,0.9316,23.2,58.0,63.0,250.0,73.2,31.3659,35.5854,0.605,0.273,0.708,0.862,0.345,0.481,4919.0,2404.0,2515.0,48.9,10.1,0.9
5,18,0,5,4,53,18,11,117,71.3,3.183,2.488,1.3125,21.2,58.0,54.0,273.0,81.9,32.2073,32.4268,0.804,0.387,0.742,0.86,0.576,0.698,5165.0,2753.0,2412.0,53.3,9.9,0.923,47,29,6,100,61.0,3.293,3.024,0.9148,26.1,68.0,53.0,260.0,80.0,34.4268,31.1341,0.702,0.4,0.821,0.923,0.64,0.483,5118.0,2572.0,2546.0,50.2,9.6,0.903
15,8,1,15,6,29,40,13,71,43.3,2.524,3.146,0.8228,21.2,52.0,68.0,245.0,74.1,32.7683,32.3171,0.447,0.273,0.714,0.778,0.378,0.341,5037.0,2395.0,2642.0,47.5,7.7,0.903,49,26,7,105,64.0,3.122,2.902,1.1104,22.5,55.0,53.0,244.0,80.3,29.0122,31.8659,0.811,0.422,0.966,0.9,0.679,0.56,4894.0,2467.0,2427.0,50.4,10.8,0.909
