winner,awayID,homeID,away_wins,away_losses,away_ot,away_pts,away_ptPctg,away_goalsPerGame,away_goalsAgainstPerGame,away_evGGARatio,away_powerPlayPercentage,away_powerPlayGoals,away_powerPlayGoalsAgainst,away_powerPlayOpportunities,away_penaltyKillPercentage,away_shotsPerGame,away_shotsAllowed,away_winScoreFirst,away_winOppScoreFirst,away_winLeadFirstPer,away_winLeadSecondPer,away_winOutshootOpp,away_winOutshotByOpp,away_faceOffsTaken,away_faceOffsWon,away_faceOffsLost,away_faceOffWinPercentage,away_shootingPctg,away_savePctg,away_PDO,home_wins,home_losses,home_ot,home_pts,home_ptPctg,home_goalsPerGame,home_goalsAgainstPerGame,home_evGGARatio,home_powerPlayPercentage,home_powerPlayGoals,home_powerPlayGoalsAgainst,home_powerPlayOpportunities,home_penaltyKillPercentage,home_shotsPerGame,home_shotsAllowed,home_winScoreFirst,home_winOppScoreFirst,home_winLeadFirstPer,home_winLeadSecondPer,home_winOutshootOpp,home_winOutshotByOpp,home_faceOffsTaken,home_faceOffsWon,home_faceOffsLost,home_faceOffWinPercentage,home_shootingPctg,home_savePctg,home_PDO
1,24,25,29,35,8,76,46.3,2.244,2.598,0.8143,18.1,56.0,54.0,310.0,84.7,29.7317,29.7927,0.526,0.205,0.556,0.792,0.361,0.341,5208.0,2882.0,2326.0,55.3,7.5,0.913,0.988,41,26,2,97,59.1,2.366,2.134,1.1351,15.8,52.0,44.0,328.0,85.8,26.7805,23.1951,0.732,0.268,0.857,0.818,0.577,0.346,5052.0,2597.0,2455.0,51.4,8.8,0.908,0.996
1,30,16,30,29,3,83,50.6,2.293,2.232,1.0333,13.6,46.0,44.0,338.0,84.4,24.1707,29.061,0.478,0.222,0.516,0.625,0.458,0.34,5330.0,2487.0,2843.0,46.7,9.5,0.923,1.018,20,43,8,59,36.0,2.293,3.159,0.6994,15.8,55.0,63.0,349.0,83.4,29.2805,30.7439,0.333,0.184,0.45,0.56,0.171,0.286,5456.0,2693.0,2763.0,49.4,7.8,0.897,0.975
0,1,6,43,25,2,100,61.0,2.598,2.0,1.2636,16.4,51.0,39.0,312.0,85.3,29.6707,24.4024,0.771,0.176,0.821,0.842,0.559,0.5,4916.0,2419.0,2497.0,49.2,8.8,0.918,1.006,41,19,7,104,63.4,2.549,2.293,1.3143,16.0,48.0,55.0,300.0,83.5,30.4878,27.8049,0.588,0.438,0.842,0.774,0.6,0.355,5384.0,2807.0,2577.0,52.1,8.4,0.918,1.002
1,8,9,41,30,4,93,56.7,2.537,2.341,1.0593,17.2,55.0,55.0,319.0,82.4,27.6829,28.5854,0.667,0.226,0.741,0.882,0.564,0.429,5117.0,2643.0,2474.0,51.6,9.2,0.918,1.01,43,23,6,102,62.2,3.195,2.305,1.463,21.6,80.0,57.0,371.0,83.5,29.5244,24.878,0.667,0.351,0.758,0.805,0.588,0.407,5364.0,2524.0,2840.0,47.0,10.8,0.907,1.0150000000000001
1,7,4,37,34,4,85,51.8,2.683,2.695,0.9521,15.8,58.0,53.0,367.0,84.7,28.061,28.5366,0.609,0.25,0.72,0.774,0.564,0.341,5618.0,2823.0,2795.0,50.2,9.6,0.906,1.002,40,21,6,101,61.6,2.793,2.268,1.2522,20.7,65.0,58.0,314.0,83.3,29.4024,25.5122,0.636,0.316,0.793,0.917,0.44,0.533,5081.0,2555.0,2526.0,50.3,9.5,0.911,1.006
1,2,15,38,29,4,91,55.5,2.89,2.561,1.1049,16.7,54.0,52.0,323.0,85.5,28.5488,27.3659,0.692,0.256,0.7,0.839,0.524,0.405,5335.0,2631.0,2704.0,49.3,10.1,0.906,1.0070000000000001,23,46,3,59,36.0,2.268,3.085,0.6752,19.2,64.0,75.0,334.0,81.3,23.7317,31.5366,0.472,0.13,0.737,0.87,0.25,0.27,5108.0,2502.0,2606.0,49.0,9.6,0.902,0.998
1,29,11,25,45,4,62,37.8,2.159,2.902,0.6519,14.5,58.0,50.0,401.0,85.1,27.8049,31.9878,0.405,0.222,0.692,0.76,0.48,0.245,5471.0,2615.0,2856.0,47.8,7.8,0.909,0.987,33,37,4,78,47.6,2.61,2.963,0.8228,14.7,60.0,58.0,409.0,85.1,26.1098,29.4024,0.677,0.235,0.667,0.913,0.5,0.34,5462.0,2553.0,2909.0,46.7,10.0,0.899,0.999
1,12,13,28,34,6,76,46.3,2.098,2.549,0.9402,10.7,41.0,66.0,384.0,81.6,29.1951,26.2195,0.567,0.212,0.632,0.821,0.313,0.308,5348.0,2934.0,2414.0,54.9,7.2,0.903,0.9750000000000001,28,35,4,75,45.7,2.293,2.695,0.8099,16.8,52.0,51.0,310.0,86.3,27.7195,34.4878,0.528,0.196,0.5,0.607,0.3,0.35,5285.0,2435.0,2850.0,46.1,8.3,0.922,1.0050000000000001
1,26,17,28,29,9,81,49.4,2.5,2.646,1.0313,14.0,50.0,65.0,356.0,80.6,28.6463,26.9878,0.545,0.105,0.481,0.727,0.395,0.257,5537.0,2829.0,2708.0,51.1,8.7,0.902,0.989,48,21,2,109,66.5,3.11,2.305,1.2558,20.1,63.0,42.0,314.0,86.7,30.2927,26.2317,0.787,0.314,0.75,0.841,0.551,0.643,5259.0,2763.0,2496.0,52.5,10.3,0.912,1.0150000000000001
1,24,18,29,35,8,76,46.3,2.244,2.598,0.8143,18.1,56.0,54.0,310.0,84.7,29.7317,29.7927,0.526,0.205,0.556,0.792,0.361,0.341,5208.0,2882.0,2326.0,55.3,7.5,0.913,0.988,38,29,4,91,55.5,2.634,2.646,0.9583,16.9,72.0,64.0,426.0,81.7,27.1585,28.4756,0.61,0.317,0.69,0.778,0.424,0.468,5414.0,2645.0,2769.0,48.9,9.7,0.907,1.004
1,28,22,43,21,6,104,63.4,2.671,2.232,1.188,16.6,56.0,47.0,337.0,85.2,28.0488,28.939,0.667,0.351,0.694,0.872,0.556,0.523,5432.0,2632.0,2800.0,48.5,9.5,0.923,1.018,36,29,5,89,54.3,2.695,2.537,1.2231,13.0,44.0,66.0,338.0,81.0,28.439,26.5244,0.657,0.277,0.652,0.889,0.415,0.5,5303.0,2699.0,2604.0,50.9,9.5,0.904,0.999
1,20,23,42,30,3,94,57.3,2.439,2.146,1.1238,15.1,54.0,53.0,357.0,84.6,27.4146,25.4878,0.707,0.317,0.952,0.818,0.523,0.471,5548.0,2812.0,2736.0,50.7,8.9,0.916,1.0050000000000001,43,24,5,101,61.6,2.866,2.366,1.256,15.0,56.0,50.0,374.0,85.9,29.0122,26.622,0.646,0.353,0.594,0.867,0.523,0.529,5365.0,2747.0,2618.0,51.2,9.9,0.911,1.01
0,26,5,28,29,9,81,49.4,2.5,2.646,1.0313,14.0,50.0,65.0,356.0,80.6,28.6463,26.9878,0.545,0.105,0.481,0.727,0.395,0.257,5537.0,2829.0,2708.0,51.1,8.7,0.902,0.989,23,47,4,58,35.4,2.317,3.695,0.5956,18.1,65.0,84.0,360.0,77.2,24.7439,33.1707,0.581,0.098,0.5,0.636,0.421,0.242,5548.0,2620.0,2928.0,47.2,9.4,0.889,0.983
